	child_node	joint_count	joint_count_child	cond_prob
0	GO:0000001	30.0	30.0	1.0
1	GO:0000002	1156.0	102.0	0.08823529411764706
2	GO:0000003	93474.0	8264.0	0.08840961122879089
3	GO:0000011	27.0	27.0	1.0
4	GO:0000012	1512.0	16.0	0.010582010582010581
5	GO:0000017	9.0	6.0	0.6666666666666666
6	GO:0000018	877.0	266.0	0.3033067274800456
7	GO:0000019	266.0	34.0	0.12781954887218044
8	GO:0000022	72.0	72.0	1.0
9	GO:0000023	147.0	13.0	0.08843537414965986
10	GO:0000024	1.0	1.0	1.0
11	GO:0000025	7.0	7.0	1.0
12	GO:0000027	82.0	82.0	1.0
13	GO:0000028	75.0	74.0	0.9866666666666667
14	GO:0000032	26.0	26.0	1.0
15	GO:0000038	1068.0	91.0	0.0852059925093633
16	GO:0000041	1606.0	477.0	0.2970112079701121
17	GO:0000045	133.0	132.0	0.9924812030075187
18	GO:0000050	31.0	31.0	1.0
19	GO:0000052	1156.0	12.0	0.010380622837370242
20	GO:0000053	3.0	3.0	1.0
21	GO:0000054	61.0	61.0	1.0
22	GO:0000055	61.0	38.0	0.6229508196721312
23	GO:0000056	61.0	22.0	0.36065573770491804
24	GO:0000070	515.0	508.0	0.9864077669902913
25	GO:0000073	7.0	7.0	1.0
26	GO:0000075	1092.0	457.0	0.4184981684981685
27	GO:0000076	301.0	66.0	0.21926910299003322
28	GO:0000077	265.0	254.0	0.9584905660377359
29	GO:0000079	153.0	152.0	0.9934640522875817
30	GO:0000080	0.0	0.0	
31	GO:0000082	244.0	243.0	0.9959016393442623
32	GO:0000083	113.0	79.0	0.6991150442477876
33	GO:0000084	0.0	0.0	
34	GO:0000085	0.0	0.0	
35	GO:0000086	189.0	189.0	1.0
36	GO:0000087	0.0	0.0	
37	GO:0000088	0.0	0.0	
38	GO:0000089	0.0	0.0	
39	GO:0000090	0.0	0.0	
40	GO:0000091	0.0	0.0	
41	GO:0000092	0.0	0.0	
42	GO:0000093	0.0	0.0	
43	GO:0000096	264.0	213.0	0.8068181818181818
44	GO:0000097	134.0	134.0	1.0
45	GO:0000098	37.0	37.0	1.0
46	GO:0000101	44.0	34.0	0.7727272727272727
47	GO:0000103	1313.0	46.0	0.035034272658035034
48	GO:0000105	39.0	39.0	1.0
49	GO:0000117	29.0	8.0	0.27586206896551724
50	GO:0000122	1905.0	1734.0	0.9102362204724409
51	GO:0000128	30.0	24.0	0.8
52	GO:0000132	186.0	184.0	0.989247311827957
53	GO:0000147	28.0	23.0	0.8214285714285714
54	GO:0000154	220.0	218.0	0.990909090909091
55	GO:0000160	2794.0	134.0	0.047959914101646385
56	GO:0000161	227.0	10.0	0.04405286343612335
57	GO:0000162	46.0	46.0	1.0
58	GO:0000165	623.0	623.0	1.0
59	GO:0000167	2.0	0.0	0.0
60	GO:0000168	2.0	1.0	0.5
61	GO:0000169	2.0	1.0	0.5
62	GO:0000173	2.0	2.0	1.0
63	GO:0000183	207.0	42.0	0.2028985507246377
64	GO:0000184	490.0	195.0	0.3979591836734694
65	GO:0000185	310.0	22.0	0.07096774193548387
66	GO:0000186	310.0	75.0	0.24193548387096775
67	GO:0000187	310.0	228.0	0.7354838709677419
68	GO:0000188	128.0	46.0	0.359375
69	GO:0000196	16.0	13.0	0.8125
70	GO:0000197	0.0	0.0	
71	GO:0000198	1.0	0.0	0.0
72	GO:0000199	3.0	2.0	0.6666666666666666
73	GO:0000200	2.0	0.0	0.0
74	GO:0000209	1005.0	413.0	0.4109452736318408
75	GO:0000212	195.0	133.0	0.6820512820512821
76	GO:0000226	1777.0	1759.0	0.9898705683736635
77	GO:0000236	0.0	0.0	
78	GO:0000237	0.0	0.0	
79	GO:0000238	0.0	0.0	
80	GO:0000239	0.0	0.0	
81	GO:0000240	0.0	0.0	
82	GO:0000241	0.0	0.0	
83	GO:0000244	52.0	18.0	0.34615384615384615
84	GO:0000245	167.0	98.0	0.5868263473053892
85	GO:0000255	930.0	21.0	0.02258064516129032
86	GO:0000256	18.0	18.0	1.0
87	GO:0000266	66.0	58.0	0.8787878787878788
88	GO:0000270	300.0	87.0	0.29
89	GO:0000271	465.0	465.0	1.0
90	GO:0000272	289.0	289.0	1.0
91	GO:0000278	4184.0	2455.0	0.5867590822179732
92	GO:0000279	0.0	0.0	
93	GO:0000280	1534.0	1422.0	0.9269882659713168
94	GO:0000281	472.0	444.0	0.940677966101695
95	GO:0000282	62.0	44.0	0.7096774193548387
96	GO:0000288	490.0	158.0	0.3224489795918367
97	GO:0000289	158.0	79.0	0.5
98	GO:0000290	39.0	39.0	1.0
99	GO:0000291	490.0	69.0	0.14081632653061224
100	GO:0000292	710.0	3.0	0.004225352112676056
101	GO:0000294	490.0	12.0	0.024489795918367346
102	GO:0000296	45.0	16.0	0.35555555555555557
103	GO:0000301	69.0	11.0	0.15942028985507245
104	GO:0000302	915.0	734.0	0.8021857923497268
105	GO:0000303	74.0	68.0	0.918918918918919
106	GO:0000304	634.0	20.0	0.031545741324921134
107	GO:0000305	634.0	74.0	0.1167192429022082
108	GO:0000316	45.0	3.0	0.06666666666666667
