	child_node	joint_count	joint_count_child	cond_prob
0	GO:0000015	831.0	9.0	0.010830324909747292
1	GO:0000109	79.0	35.0	0.4430379746835443
2	GO:0000110	35.0	7.0	0.2
3	GO:0000111	35.0	2.0	0.05714285714285714
4	GO:0000112	35.0	8.0	0.22857142857142856
5	GO:0000113	35.0	4.0	0.11428571428571428
6	GO:0000118	1473.0	228.0	0.15478615071283094
7	GO:0000120	61.0	26.0	0.4262295081967213
8	GO:0000123	327.0	323.0	0.9877675840978594
9	GO:0000124	80.0	80.0	1.0
10	GO:0000125	113.0	4.0	0.035398230088495575
11	GO:0000126	27.0	11.0	0.4074074074074074
12	GO:0000127	27.0	16.0	0.5925925925925926
13	GO:0000131	61360.0	79.0	0.00128748370273794
14	GO:0000133	65.0	11.0	0.16923076923076924
15	GO:0000136	8.0	8.0	1.0
16	GO:0000137	159.0	47.0	0.29559748427672955
17	GO:0000138	159.0	46.0	0.2893081761006289
18	GO:0000139	1082.0	753.0	0.6959334565619224
19	GO:0000142	19.0	19.0	1.0
20	GO:0000144	20.0	18.0	0.9
21	GO:0000145	50.0	50.0	1.0
22	GO:0000148	29.0	9.0	0.3103448275862069
23	GO:0000151	1954.0	560.0	0.2865916069600819
24	GO:0000152	306.0	137.0	0.4477124183006536
25	GO:0000153	264.0	32.0	0.12121212121212122
26	GO:0000159	110.0	39.0	0.35454545454545455
27	GO:0000164	78.0	24.0	0.3076923076923077
28	GO:0000172	76.0	29.0	0.3815789473684211
29	GO:0000176	68.0	56.0	0.8235294117647058
30	GO:0000177	56.0	31.0	0.5535714285714286
31	GO:0000178	92.0	92.0	1.0
32	GO:0000214	51.0	5.0	0.09803921568627451
33	GO:0000220	7.0	7.0	1.0
34	GO:0000221	8.0	8.0	1.0
35	GO:0000222	0.0	0.0	
36	GO:0000223	0.0	0.0	
37	GO:0000228	2080.0	1147.0	0.5514423076923077
38	GO:0000229	983.0	37.0	0.03763987792472025
39	GO:0000235	84.0	84.0	1.0
40	GO:0000242	1266.0	49.0	0.038704581358609796
41	GO:0000243	156.0	15.0	0.09615384615384616
42	GO:0000262	16.0	16.0	1.0
43	GO:0000274	3.0	3.0	1.0
44	GO:0000275	21.0	21.0	1.0
45	GO:0000276	27.0	27.0	1.0
46	GO:0000306	21.0	18.0	0.8571428571428571
47	GO:0000307	183.0	85.0	0.4644808743169399
48	GO:0000308	36.0	2.0	0.05555555555555555
49	GO:0000311	3.0	3.0	1.0
50	GO:0000312	1.0	1.0	1.0
51	GO:0000313	1324.0	438.0	0.33081570996978854
52	GO:0000314	176.0	176.0	1.0
53	GO:0000315	250.0	250.0	1.0
54	GO:0000322	2477.0	304.0	0.12272910779168349
55	GO:0000323	2477.0	1318.0	0.5320952765442067
56	GO:0000324	283.0	282.0	0.9964664310954063
57	GO:0000325	2477.0	166.0	0.06701655228098506
58	GO:0000326	17.0	17.0	1.0
59	GO:0000327	1.0	1.0	1.0
60	GO:0000328	24.0	21.0	0.875
61	GO:0000329	188.0	188.0	1.0
62	GO:0000330	0.0	0.0	
63	GO:0000331	53.0	53.0	1.0
64	GO:0000333	12.0	12.0	1.0
65	GO:0000343	9.0	0.0	0.0
66	GO:0000344	9.0	0.0	0.0
67	GO:0000345	47.0	1.0	0.02127659574468085
68	GO:0000346	6080.0	19.0	0.003125
69	GO:0000347	6080.0	32.0	0.005263157894736842
70	GO:0000399	50.0	29.0	0.58
71	GO:0000407	44416.0	91.0	0.0020488112391930835
72	GO:0000408	12382.0	17.0	0.0013729607494750444
73	GO:0000417	14985.0	9.0	0.0006006006006006006
74	GO:0000418	340.0	14.0	0.041176470588235294
75	GO:0000419	340.0	21.0	0.061764705882352944
76	GO:0000421	51.0	46.0	0.9019607843137255
77	GO:0000427	9.0	9.0	1.0
78	GO:0000428	364.0	355.0	0.9752747252747253
79	GO:0000438	25.0	3.0	0.12
80	GO:0000439	361.0	27.0	0.07479224376731301
81	GO:0000440	6.0	0.0	0.0
82	GO:0000444	135.0	11.0	0.08148148148148149
83	GO:0000445	10.0	10.0	1.0
84	GO:0000446	4.0	4.0	1.0
85	GO:0000500	26.0	8.0	0.3076923076923077
