	0
GO:0008150	93474
GO:0010646	8792
GO:0023051	8808
GO:0050789	40894
GO:0050794	35670
GO:0050804	1207
GO:0065007	44733
GO:0099177	1208
GO:0000302	734
GO:0006355	9214
GO:0006950	14261
GO:0006979	1757
GO:0009314	2164
GO:0009416	1754
GO:0009605	10949
GO:0009628	6883
GO:0009649	79
GO:0009889	11737
GO:0009890	4354
GO:0009892	8501
GO:0010035	2811
GO:0010468	14829
GO:0010556	10834
GO:0010558	4079
GO:0010605	7871
GO:0010629	6181
GO:0019219	10803
GO:0019222	20724
GO:0031323	17017
GO:0031324	6365
GO:0031326	11487
GO:0031327	4273
GO:0042221	16074
GO:0042542	411
GO:0042752	423
GO:0045892	3348
GO:0045934	3862
GO:0048519	16562
GO:0048523	13614
GO:0050896	32051
GO:0051171	15556
GO:0051172	5884
GO:0051252	10023
GO:0051253	3593
GO:0060255	18786
GO:0080090	16133
GO:1901700	6289
GO:1902679	3357
GO:1903506	9226
GO:1903507	3355
GO:2000112	10676
GO:2000113	4057
GO:2001141	9292
GO:0001932	2848
GO:0007275	25023
GO:0007399	9284
GO:0009966	7333
GO:0009987	65352
GO:0019220	3539
GO:0022008	6609
GO:0030154	14152
GO:0030182	4571
GO:0031399	3722
GO:0032268	5551
GO:0032501	30785
GO:0032502	29527
GO:0042325	3142
GO:0043408	1389
GO:0048583	11083
GO:0048699	6204
GO:0048731	21323
GO:0048856	28232
GO:0048869	14439
GO:0051174	3544
GO:0051246	5884
GO:0060322	2799
GO:0070376	4
GO:1902531	3598
GO:0007517	1161
GO:0007519	543
GO:0009888	9346
GO:0014706	1037
GO:0014902	322
GO:0014904	165
GO:0042692	1233
GO:0048468	8576
GO:0048513	13942
GO:0048741	159
GO:0048747	293
GO:0051146	1080
GO:0055001	907
GO:0055002	858
GO:0060537	1090
GO:0060538	725
GO:0061061	2217
GO:0002119	433
GO:0002164	813
GO:0009790	6185
GO:0009791	3644
GO:0009792	3057
GO:0040026	44
GO:0040028	129
GO:0048518	18701
GO:0048580	672
GO:0048582	178
GO:0050793	9068
GO:0051094	3755
GO:0051239	10243
GO:0051240	4513
GO:0061062	194
GO:0061063	68
GO:2000026	6968
GO:0000381	160
GO:0043484	352
GO:0048024	240
GO:0050684	299
GO:1903311	667
GO:0000003	8264
GO:0003006	5741
GO:0007276	3119
GO:0007281	1962
GO:0007292	1606
GO:0009994	451
GO:0019953	4085
GO:0022412	2724
GO:0022414	7948
GO:0030728	75
GO:0032504	4201
GO:0044703	4426
GO:0048477	1346
GO:0048599	400
GO:0048609	3863
GO:0051704	5056
GO:0006082	4342
GO:0006629	4339
GO:0006631	1068
GO:0006633	473
GO:0006636	143
GO:0008152	31681
GO:0008610	2443
GO:0009058	11325
GO:0016053	1612
GO:0019752	4014
GO:0032787	2073
GO:0033559	245
GO:0043436	4283
GO:0044237	28694
GO:0044238	25325
GO:0044249	10578
GO:0044255	3648
GO:0044281	7102
GO:0044283	2679
GO:0046394	1604
GO:0071704	29241
GO:0072330	789
GO:1901576	10995
GO:0001959	250
GO:0001960	121
GO:0002682	3382
GO:0002683	1010
GO:0002831	1193
GO:0002832	287
GO:0006417	1087
GO:0006464	6961
GO:0006508	2542
GO:0006807	22676
GO:0009607	6066
GO:0009894	2082
GO:0009968	3007
GO:0010467	6226
GO:0010506	714
GO:0010608	2498
GO:0010648	3339
GO:0010941	3761
GO:0016032	1197
GO:0016485	437
GO:0016540	53
GO:0016579	380
GO:0019048	222
GO:0019049	69
GO:0019054	177
GO:0019056	56
GO:0019057	12
GO:0019058	621
GO:0019079	174
GO:0019080	335
GO:0019083	260
GO:0019538	10860
GO:0023057	3343
GO:0030682	157
GO:0030683	60
GO:0031329	1726
GO:0031347	1987
GO:0031348	822
GO:0032101	2890
GO:0032102	1050
GO:0034121	116
GO:0034122	62
GO:0034248	1304
GO:0035821	721
GO:0036211	6963
GO:0039502	16
GO:0039503	44
GO:0039506	70
GO:0039507	66
GO:0039519	13
GO:0039527	4
GO:0039547	4
GO:0039548	11
GO:0039579	5
GO:0039604	12
GO:0039644	19
GO:0039653	46
GO:0039656	79
GO:0039657	54
GO:0039690	17
GO:0039694	56
GO:0039722	3
GO:0043067	3330
GO:0043170	19006
