	0
GO:0005575	82350
GO:0005622	61823
GO:0005634	25231
GO:0005737	44416
GO:0005783	3668
GO:0005790	65
GO:0012505	11249
GO:0014069	527
GO:0030054	5429
GO:0030425	1168
GO:0032279	537
GO:0036477	1903
GO:0042995	6556
GO:0043005	3053
GO:0043226	52258
GO:0043227	45208
GO:0043229	49848
GO:0043231	41716
GO:0045202	2859
GO:0060076	125
GO:0097447	1171
GO:0098688	48
GO:0098794	1094
GO:0098978	732
GO:0098984	574
GO:0099572	608
GO:0110165	80392
GO:0120025	6455
GO:0005667	976
GO:0032991	14985
GO:0005829	14307
GO:0005886	15351
GO:0016020	23558
GO:0071944	17332
GO:0005768	2042
GO:0005887	2695
GO:0010008	555
GO:0016021	4685
GO:0031090	6764
GO:0031224	5277
GO:0031226	2982
GO:0031410	4655
GO:0031982	5184
GO:0097708	4676
GO:0098588	3821
GO:0098805	3555
GO:0000123	323
GO:0005654	10285
GO:0031248	349
GO:0031974	15364
GO:0031981	13240
GO:0032777	9
GO:0035267	84
GO:0043189	84
GO:0043233	15362
GO:0070013	15356
GO:1902493	349
GO:1902494	4038
GO:1902562	174
GO:1990234	2037
GO:0005937	117
GO:0005576	6593
GO:0005856	5452
GO:0005875	341
GO:0005938	1430
GO:0015629	1309
GO:0015630	3318
GO:0016459	102
GO:0016461	30
GO:0030139	627
GO:0030424	1687
GO:0030426	361
GO:0030427	751
GO:0031476	5
GO:0043228	14147
GO:0043232	14098
GO:0045171	216
GO:0045172	58
GO:0045178	220
GO:0070864	28
GO:0070865	13
GO:0150034	740
GO:0000118	228
GO:0000228	1147
GO:0000785	1833
GO:0000790	448
GO:0000812	38
GO:0005694	3715
GO:0070603	298
GO:0097346	81
GO:1904949	354
GO:0005739	6655
GO:0020023	235
GO:0005618	884
GO:0005730	2881
GO:0005840	1324
GO:0005844	233
GO:0005911	2002
GO:0009506	850
GO:0015935	482
GO:0022626	805
GO:0022627	301
GO:0030312	1122
GO:0042788	139
GO:0044391	1146
GO:0055044	850
GO:0070161	2406
GO:1990904	2515
GO:0030286	113
GO:0016324	836
GO:0045177	1312
GO:0098590	2736
GO:0005777	849
GO:0005778	145
GO:0031903	145
GO:0042579	849
GO:0016604	1570
GO:0005794	3696
GO:0031012	830
GO:0062023	460
GO:0009507	2137
GO:0009532	737
GO:0009536	2803
GO:0009570	729
GO:0012506	1092
GO:0030141	1113
GO:0030659	1034
GO:0030667	378
GO:0099503	1545
GO:0030135	515
GO:0030136	322
GO:0030662	272
GO:0030665	172
GO:0048471	1235
GO:0009925	114
GO:0016323	569
GO:0035579	91
GO:0042581	162
GO:0000932	216
GO:0005773	2477
GO:0010494	227
GO:0035770	742
GO:0036464	709
GO:0048046	242
GO:0099080	3029
GO:0005740	1765
GO:0005743	1111
GO:0019866	1257
GO:0031966	1620
GO:0031967	3711
GO:0031975	4057
GO:0016607	721
GO:0045121	580
GO:0098589	608
GO:0098857	582
GO:0005615	2791
GO:0005741	430
GO:0019867	752
