	0
GO:0003674	77124
GO:0005488	56880
GO:0005515	46998
GO:0005041	22
GO:0030228	30
GO:0038024	137
GO:0003824	24929
GO:0003919	7
GO:0008531	4
GO:0016301	3187
GO:0016740	9614
GO:0016772	4069
GO:0016773	2867
GO:0016779	671
GO:0070566	159
GO:0003676	10044
GO:0003723	4048
GO:0003725	178
GO:0003727	267
GO:0004175	853
GO:0004197	218
GO:0008233	1718
GO:0008234	330
GO:0016787	8430
GO:0019783	59
GO:0019785	5
GO:0042802	5435
GO:0046983	2044
GO:0097159	12683
GO:0140096	6568
GO:1901363	12471
GO:0004402	165
GO:0008080	305
GO:0016407	440
GO:0016410	380
GO:0016746	1207
GO:0016747	1054
GO:0034212	209
GO:0035064	134
GO:0042393	386
GO:0061733	179
GO:0140030	282
GO:0140034	134
GO:0005215	4687
GO:0008324	2405
GO:0015075	3379
GO:0015077	1220
GO:0015079	484
GO:0015318	3243
GO:0022857	4374
GO:0022890	2155
GO:0046873	1465
GO:0003779	819
GO:0005516	317
GO:0008017	538
GO:0008092	1954
GO:0015631	713
GO:0017022	214
GO:0032027	25
GO:0044877	2536
GO:0051015	398
GO:0070853	6
GO:0070856	2
GO:0003729	2286
GO:0003735	826
GO:0005198	1513
GO:0050265	23
GO:0070569	68
GO:0140098	1340
GO:0005102	2983
GO:0042043	30
GO:0015291	651
GO:0015349	11
GO:0022804	1103
GO:0003997	15
GO:0016491	4404
GO:0016627	309
GO:0016634	31
GO:0005507	248
GO:0043167	5984
GO:0043169	2990
GO:0046872	2731
GO:0046914	1470
GO:0008022	308
GO:0000166	2133
GO:0005524	928
GO:0017076	1490
GO:0030554	1081
GO:0032553	1547
GO:0032555	1462
GO:0032559	1064
GO:0035639	1260
GO:0036094	3096
GO:0043168	3579
GO:0097367	2241
GO:1901265	2133
GO:0005246	89
GO:0016247	289
GO:0098772	7328
GO:0099106	237
GO:0005216	1481
GO:0005230	364
GO:0015267	1717
GO:0015276	590
GO:0022803	1718
GO:0022834	595
GO:0022836	1092
GO:0003677	6242
GO:0004518	852
GO:0016788	3080
GO:0008270	743
GO:0008336	3
GO:0016705	792
GO:0016706	167
GO:0051213	348
GO:0050750	32
GO:0070325	40
GO:0005342	595
GO:0008509	1259
GO:0008514	801
GO:0015171	333
GO:0015174	61
GO:0015179	205
GO:0015181	29
GO:0046943	586
GO:0061459	11
GO:0030234	2091
GO:0019899	4120
GO:0043274	25
GO:0003700	2854
GO:0043565	4442
GO:0140110	3829
GO:0009881	86
GO:0038023	2714
GO:0060089	2769
GO:0008940	25
GO:0016661	78
GO:0016662	31
GO:0030151	17
GO:0043546	20
GO:0050421	9
GO:0098809	21
GO:0016853	870
GO:0016866	243
GO:0031559	39
GO:0034076	2
GO:0000976	2902
GO:0001067	2912
GO:0003690	3788
GO:1990837	3390
GO:0004888	2081
GO:0004930	1026
GO:0004989	9
GO:0008227	158
GO:0003682	1272
GO:0016645	189
GO:0016647	36
GO:0046592	13
GO:0019900	1348
GO:0019901	1139
GO:0042389	6
GO:0008289	1478
GO:0004016	84
GO:0009975	160
GO:0016829	1505
GO:0016849	137
GO:0009055	273
GO:0015035	52
GO:0015036	175
GO:0015037	56
GO:0015038	47
GO:0016651	355
GO:0016657	13
GO:0016667	329
GO:0080007	3
GO:0000309	12
GO:0060090	683
GO:0004177	150
GO:0008238	291
GO:0008239	35
GO:0042803	1547
GO:0004652	45
GO:0034062	141
GO:0097747	147
GO:0004672	2269
GO:0004674	1452
GO:0008035	15
GO:0035473	8
GO:0035478	3
GO:0071813	49
GO:0071814	49
GO:0140318	96
GO:0000149	173
GO:0005509	732
GO:0005543	783
GO:0005544	60
GO:0019905	95
GO:0004222	152
GO:0008237	311
GO:0001882	411
GO:0001883	405
GO:0003924	477
GO:0005525	363
GO:0016462	1905
GO:0016817	1923
GO:0016818	1918
GO:0017111	1676
GO:0019001	459
GO:0019003	102
GO:0032549	403
GO:0032550	402
GO:0032561	450
GO:0004838	9
GO:0008483	179
GO:0016769	184
GO:0070547	9
GO:0016628	141
GO:0032440	5
GO:0035671	4
GO:0035798	3
GO:0000984	43
GO:0000986	32
GO:0000987	1122
GO:0001216	896
GO:0001181	16
GO:0140223	123
GO:0004842	861
GO:0019787	944
GO:0061630	427
GO:0061659	452
GO:0000156	37
GO:0004112	105
GO:0004114	71
GO:0004115	41
GO:0008081	334
GO:0042578	1450
GO:0047555	31
GO:0036313	11
GO:0043548	59
GO:1905394	10
GO:0003678	213
GO:0004386	330
GO:0008094	344
GO:0016887	1069
GO:0043138	60
GO:0140097	924
GO:0004984	116
GO:0038022	37
GO:0001540	104
GO:0004713	304
GO:0004714	138
GO:0005009	5
GO:0005159	36
GO:0005520	63
GO:0016500	64
GO:0017046	109
GO:0019199	207
GO:0019838	270
GO:0019904	1270
GO:0031994	26
GO:0031995	18
GO:0033218	737
GO:0042277	566
GO:0042562	265
GO:0043559	14
GO:0043560	16
GO:0051425	13
GO:0002020	235
GO:0005539	361
GO:0008201	256
GO:0030246	478
GO:0043208	21
GO:0046625	60
GO:0051861	53
GO:0070492	49
GO:1901681	506
GO:0019894	90
GO:0044325	208
GO:0004095	11
GO:0008374	257
GO:0016406	20
GO:0016409	84
GO:0016416	15
GO:0003845	7
GO:0016229	120
GO:0016614	911
GO:0016616	809
GO:0033764	94
GO:0043014	49
GO:0017069	93
GO:0017070	24
GO:0051010	58
GO:0004653	36
GO:0008194	642
GO:0008376	64
GO:0016757	1416
GO:0016758	993
GO:0050291	26
GO:0003774	254
GO:0003777	134
GO:0000900	51
GO:0030371	89
GO:0045182	345
GO:0090079	257
GO:0005388	46
GO:0015085	448
GO:0015399	415
GO:0015662	132
GO:0019829	203
GO:0022853	808
GO:0030165	144
GO:0035254	86
GO:0042625	241
GO:0042626	390
GO:0072509	545
GO:0004812	200
GO:0004818	8
GO:0004827	11
GO:0016874	896
GO:0016875	201
GO:0140101	469
GO:0016303	41
GO:0035004	48
GO:0052742	62
GO:0017080	70
GO:0071253	10
GO:0004497	605
GO:0008391	28
GO:0008392	18
GO:0016709	231
GO:0016713	45
GO:0018685	18
GO:0050051	4
GO:0052869	5
GO:0052870	1
GO:0052871	1
GO:0052872	1
GO:0035091	483
GO:0070733	16
GO:0016854	157
GO:0016857	80
GO:0047757	3
GO:0005085	423
GO:0051020	936
GO:0008168	859
GO:0008170	324
GO:0008757	641
GO:0016273	58
GO:0016741	939
GO:0005451	76
GO:0015078	409
GO:0015081	468
GO:0015103	458
GO:0015108	277
GO:0015297	236
GO:0015298	141
GO:0015299	87
GO:0015385	52
GO:0015491	130
GO:0051139	70
GO:0001664	505
GO:0031748	18
GO:0050780	30
GO:0005315	36
GO:0030504	3
GO:0004721	538
GO:0016791	1107
GO:0004553	828
GO:0004564	23
GO:0016798	1004
GO:0005021	17
GO:0000977	1319
GO:0000978	922
GO:0000981	1524
GO:0001217	563
GO:0001227	379
GO:0001228	740
GO:0008134	1449
GO:0070888	77
GO:0071837	24
GO:1990817	14
GO:0004033	68
GO:0008106	50
GO:0005381	58
GO:0046915	216
GO:0004364	171
GO:0004601	258
GO:0004602	55
GO:0016034	3
GO:0016209	431
GO:0016684	277
GO:0016765	553
GO:0016859	124
GO:0004585	14
GO:0016743	28
GO:0005244	470
GO:0005248	66
GO:0005261	1146
GO:0005272	132
GO:0022832	478
GO:0030275	22
GO:0031402	24
GO:0031420	58
GO:0043522	15
GO:0099508	6
GO:0004507	6
GO:0005496	221
GO:0008395	107
GO:0101005	207
GO:0015280	38
GO:0099094	455
GO:0004430	19
GO:0008047	940
GO:0019207	420
GO:0019209	172
GO:0019887	382
GO:0030295	161
GO:0043539	65
GO:0008146	157
GO:0016782	261
GO:0017095	6
GO:0034483	23
GO:0005402	52
GO:0015144	256
GO:0015293	322
GO:0015294	313
GO:0032451	125
GO:0050649	28
GO:0001637	48
GO:0001653	374
GO:0004896	168
GO:0004950	44
GO:0005126	446
GO:0008528	340
GO:0042379	123
GO:0048020	41
GO:0140375	209
GO:0000287	616
GO:0004519	477
GO:0004521	267
GO:0004540	481
GO:0005161	17
GO:0030544	75
GO:0031072	222
GO:0043531	77
GO:0051879	80
GO:0070851	208
GO:0019842	302
GO:0031419	25
GO:0046906	277
GO:0001085	104
GO:0002039	97
GO:0008013	157
GO:0031625	402
GO:0034236	28
GO:0034452	15
GO:0044389	422
GO:0050321	37
GO:0051018	102
GO:0051059	44
GO:0061629	450
GO:0140297	668
GO:0019843	218
GO:1990932	5
GO:0045159	27
GO:0015932	174
GO:0022884	86
GO:0051032	3
GO:0051033	2
GO:0003979	11
GO:0043621	237
GO:0004843	177
GO:0008242	205
GO:0051082	207
GO:0004252	241
GO:0008236	362
GO:0017171	368
GO:0008157	108
GO:0008276	296
GO:0016278	174
GO:0016279	172
GO:0018024	129
GO:0019902	378
GO:0019903	312
GO:0042054	188
GO:0042800	50
GO:0005319	286
GO:0015248	52
GO:0120013	107
GO:0120015	46
GO:0120020	34
GO:0035257	231
GO:0046966	39
GO:0046982	620
GO:0051427	295
GO:0019825	82
GO:0019826	22
GO:0070025	16
GO:0070026	15
GO:0070027	3
GO:0140299	90
GO:0004970	71
GO:0004972	37
GO:0005231	225
GO:0005234	17
GO:0008066	107
GO:0016595	32
GO:0016597	150
GO:0022824	245
GO:0022835	245
GO:0022843	411
GO:0030594	356
GO:0031406	470
GO:0042165	71
GO:0043177	476
GO:0050839	527
GO:0051117	148
GO:0097110	100
GO:0098960	247
GO:0099507	6
GO:0099529	155
GO:1904315	151
GO:0005227	67
GO:0005229	33
GO:0005247	21
GO:0005253	232
GO:0005254	189
GO:0005548	116
GO:0008308	42
GO:0017128	14
GO:0022839	108
GO:0061778	34
GO:0140303	64
GO:0031490	167
GO:0004779	20
GO:0004781	16
GO:0090447	5
GO:0005547	78
GO:1901981	370
GO:0017124	135
GO:0005096	390
GO:0030695	462
GO:0060589	568
GO:0004567	23
GO:0015923	81
GO:0016274	53
GO:0004659	189
GO:0008759	7
GO:0016810	706
GO:0016811	399
GO:0019213	193
GO:0004738	33
GO:0004739	20
GO:0016624	35
GO:0016903	352
GO:0003712	850
GO:0003713	470
GO:0005109	53
GO:0030545	803
GO:0030546	750
GO:0048018	740
GO:0004407	112
GO:0017136	22
GO:0033558	130
GO:0034979	29
GO:0045129	3
GO:0008417	57
GO:0017060	6
GO:0046920	22
GO:0030911	10
GO:0003856	5
GO:0016835	700
GO:0016838	161
GO:0051287	197
GO:0070403	56
GO:0004725	190
GO:0004661	32
GO:0004662	11
GO:0008318	40
GO:0032190	6
GO:0017166	20
GO:0045295	15
GO:0045296	73
GO:0004084	15
GO:0005262	335
GO:0004857	813
GO:0004860	126
GO:0004861	35
GO:0016538	104
GO:0019210	133
GO:0030291	72
GO:0047485	157
GO:0010385	20
GO:0008173	212
GO:0008649	65
GO:0070037	4
GO:0140102	77
GO:1990841	107
GO:0005307	1
GO:0015101	122
GO:0015220	18
GO:0015370	185
GO:0005353	33
GO:0005355	86
GO:0005536	37
GO:0015145	128
GO:0015149	103
GO:0033300	12
GO:0048029	176
GO:0051119	133
GO:0090482	87
GO:0003861	5
GO:0016836	478
GO:0140489	10
GO:0140490	6
GO:0016307	52
GO:0016308	31
GO:0008320	75
GO:0009977	8
GO:0042887	265
GO:1904680	179
GO:0003989	21
GO:0004658	15
GO:0016421	45
GO:0016885	55
GO:0016151	39
GO:0016892	13
GO:0016894	52
GO:0032182	187
GO:0032183	31
GO:0003954	77
GO:0008137	47
GO:0016655	115
GO:0050136	49
GO:0032977	30
GO:0140104	90
GO:0004055	5
GO:0016879	313
GO:0004711	10
GO:0003958	20
GO:0016653	36
GO:0043015	67
GO:0097108	8
GO:0016987	35
GO:0050525	15
GO:0052689	570
GO:0004105	14
GO:0070567	54
GO:0008143	53
GO:0008187	76
GO:0008266	66
GO:0030674	582
GO:0035591	111
GO:0042169	55
GO:0070717	66
GO:1990782	159
GO:0035255	49
GO:0050811	25
GO:0031267	524
GO:0003823	202
GO:0042605	56
GO:0017024	9
GO:0008179	24
GO:0030350	15
GO:0047988	1
GO:0004722	215
GO:0005178	218
GO:0005217	98
GO:0005221	38
GO:0005223	23
GO:0030551	90
GO:0030553	28
GO:0043855	48
GO:0003887	101
GO:0034061	148
GO:0080072	2
GO:0080073	2
GO:0080074	1
GO:0080075	1
GO:0015562	89
GO:0015926	165
GO:0005242	67
GO:0005249	221
GO:0005267	343
GO:0008144	157
GO:0008658	13
GO:0008955	6
GO:0033293	212
GO:0008046	94
GO:0004372	24
GO:0016742	50
GO:0030170	126
GO:0070279	134
GO:0010333	110
GO:0010334	51
GO:0120086	1
GO:0001163	22
GO:0005245	137
GO:0004792	24
GO:0016783	67
GO:0005125	231
GO:0008009	92
GO:0045236	14
GO:0048248	6
GO:0005506	264
GO:0008198	93
GO:0008235	85
GO:0070006	31
GO:0004021	12
GO:0047635	12
GO:0000146	81
GO:0060002	6
GO:0102311	1
GO:0004866	347
GO:0004869	113
GO:0030414	382
GO:0061134	455
GO:0061135	372
GO:0005504	98
GO:0035325	19
GO:0035662	6
GO:0036041	35
GO:0050542	15
GO:0050543	14
GO:0050544	13
GO:0050786	15
GO:1901567	46
GO:0020037	237
GO:0008568	16
GO:0090736	2
GO:0019135	3
GO:0033612	67
GO:0004527	310
GO:0005114	16
GO:0005160	45
GO:0005540	21
GO:0019955	256
GO:0004683	115
GO:0004689	5
GO:0030374	68
GO:0015099	14
GO:0000049	115
GO:0030515	61
GO:0034511	25
GO:0005310	140
GO:0000107	4
GO:0016763	235
GO:0008083	141
GO:0030296	26
GO:0030297	8
GO:0043125	6
GO:0000104	25
GO:0008177	20
GO:0016635	36
GO:0004360	8
GO:0070548	11
GO:0005344	18
GO:0003854	18
GO:0004303	36
GO:0030283	27
GO:0047035	20
GO:0001965	76
GO:0001972	42
GO:0005010	6
GO:0005501	100
GO:0019840	127
GO:0097153	36
GO:0097200	8
GO:1990525	4
GO:0005048	81
GO:0003990	9
GO:0004104	14
GO:0033265	12
GO:0042166	53
GO:0000993	80
GO:0001098	132
GO:0001099	126
GO:0004484	7
GO:0008192	14
GO:0043175	96
GO:0070063	128
GO:0070568	35
GO:0099122	18
GO:0001103	54
GO:0070491	142
GO:0005179	241
GO:0016913	10
GO:0003707	85
GO:0004879	138
GO:0008656	24
GO:0016504	75
GO:0016505	25
GO:0016922	158
GO:0030284	30
GO:0030331	58
GO:0035258	126
GO:0042826	144
GO:0043028	67
GO:0098531	149
GO:0046332	120
GO:0070411	15
GO:0070412	26
GO:0004704	5
GO:0003714	341
GO:0005149	17
GO:0005150	5
GO:0031624	53
GO:0044390	60
GO:0015278	55
GO:0099604	76
GO:0030742	29
GO:0051087	173
GO:0008307	94
GO:0043404	4
GO:0015055	3
GO:0008976	10
GO:0016776	146
GO:0019205	157
GO:0051731	12
GO:0031593	94
GO:0008379	35
GO:0051920	54
GO:0001010	5
GO:0004146	23
GO:0016646	107
GO:0043035	30
GO:0005171	2
GO:0043021	302
GO:0070990	21
GO:1990446	15
GO:0030172	8
GO:0003743	121
GO:0008135	189
GO:0001846	32
GO:0001848	49
GO:0001849	9
GO:0046790	20
GO:0004032	23
GO:0018636	3
GO:0032052	21
GO:0047023	12
GO:0047042	1
GO:0047086	5
GO:0047115	2
GO:0004558	31
GO:0090599	60
GO:0004715	51
GO:0003992	7
GO:0022849	14
GO:0046812	67
GO:0004559	55
GO:0000030	127
GO:0004582	11
GO:0002162	14
GO:0045294	22
GO:0008068	7
GO:0099095	55
GO:0002135	14
GO:0004931	58
GO:0019103	31
GO:0032557	23
GO:0035381	65
GO:0005080	78
GO:0015020	118
GO:0048487	57
GO:0005283	38
GO:0005295	7
GO:0005343	68
GO:0005416	44
GO:0015175	130
GO:0004774	15
GO:0004775	12
GO:0016877	234
GO:0016878	169
GO:0030274	17
GO:0042805	66
GO:0051219	146
GO:0051393	47
GO:0106158	1
GO:0030506	40
GO:0016880	43
GO:0003730	456
GO:0008494	20
GO:0004620	339
GO:0004630	38
GO:0016298	478
GO:0008515	23
GO:0015154	40
GO:0015157	45
GO:1905201	2
GO:0030292	6
GO:0016251	94
GO:0003993	46
GO:0005007	28
GO:0017134	48
GO:0005372	129
GO:0005412	8
GO:0015151	7
GO:0042947	13
GO:0055056	23
GO:1901505	210
GO:0015112	29
GO:0036132	6
GO:0036185	1
GO:0097257	2
GO:0004180	102
GO:0004181	39
GO:0015095	29
GO:0035197	36
GO:0061980	129
GO:0019200	171
GO:0030492	10
GO:0031720	2
GO:0008190	33
GO:0031369	107
GO:0022840	12
GO:0022842	12
GO:0005338	56
GO:0005457	8
GO:0005459	25
GO:0005460	11
GO:0015165	41
GO:0036080	15
GO:0003697	351
GO:0042162	142
GO:0043047	45
GO:0098505	12
GO:0098847	50
GO:0033781	2
GO:0043130	155
GO:0019862	9
GO:0019865	72
GO:0031210	43
GO:0034987	23
GO:0042834	50
GO:0050997	45
GO:0004629	72
GO:0050429	4
GO:0005174	4
GO:0032813	58
GO:0061608	31
GO:0140142	51
GO:0015199	17
GO:0015418	9
GO:0015651	47
GO:0031459	7
GO:0072349	78
GO:0106144	1
GO:0016215	40
GO:0016717	76
GO:0017105	2
GO:0005384	38
GO:0015410	8
GO:0019789	69
GO:0061665	23
GO:0002046	11
GO:0005502	11
GO:0008020	26
GO:0016918	27
GO:1990763	13
GO:0004995	13
GO:0008188	131
GO:0004594	21
GO:0051011	19
GO:0070097	13
GO:0008926	3
GO:0008429	19
GO:0008525	50
GO:0017089	5
GO:0019992	13
GO:0030169	23
GO:0034189	4
GO:0046624	21
GO:0070300	64
GO:0097001	24
GO:0120014	54
GO:0120016	10
GO:0120017	7
GO:0120019	12
GO:0140337	1
GO:0140338	4
GO:0140339	1
GO:0140340	1
GO:1901611	27
GO:1904121	7
GO:1990050	7
GO:0001671	64
GO:0060590	106
GO:0001000	7
GO:0015929	82
GO:0070678	7
GO:0008553	26
GO:0009678	97
GO:0004198	34
GO:0031432	17
GO:0055103	1
GO:0004062	13
GO:0047894	3
