	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
0	GO:0000015	GO:0000015,GO:0005575,GO:0005622,GO:0005737,GO:0005829,GO:0032991,GO:0110165,GO:1902494	9	831.0	9.0	0.010830324909747292	82350	0.0001092896174863388
1	GO:0000109	GO:0000109,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165,GO:1990391	35	79.0	35.0	0.4430379746835443	82350	0.00042501517911353975
2	GO:0000110	GO:0000109,GO:0000110,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165,GO:1990391	7	35.0	7.0	0.2	82350	8.500303582270796e-05
3	GO:0000111	GO:0000109,GO:0000111,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165,GO:1990391	2	35.0	2.0	0.057142857142857134	82350	2.4286581663630843e-05
4	GO:0000112	GO:0000109,GO:0000112,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165,GO:1990391	8	35.0	8.0	0.22857142857142854	82350	9.714632665452337e-05
5	GO:0000113	GO:0000109,GO:0000113,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165,GO:1990391	4	35.0	4.0	0.11428571428571427	82350	4.8573163327261686e-05
6	GO:0000118	GO:0000118,GO:0005575,GO:0005622,GO:0005634,GO:0005654,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0070013,GO:0110165,GO:1902494	228	1473.0	228.0	0.15478615071283094	82350	0.002768670309653916
7	GO:0000120	GO:0000120,GO:0005575,GO:0005622,GO:0005634,GO:0005667,GO:0005730,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0110165	26	61.0	26.0	0.4262295081967213	82350	0.00031572556162720095
8	GO:0000123	GO:0000123,GO:0005575,GO:0005622,GO:0005634,GO:0005654,GO:0031248,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0070013,GO:0110165,GO:1902493,GO:1902494,GO:1990234	323	327.0	323.0	0.9877675840978594	82350	0.0039222829386763814
9	GO:0000124	GO:0000123,GO:0000124,GO:0005575,GO:0005622,GO:0005634,GO:0005654,GO:0031248,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0070013,GO:0070461,GO:0110165,GO:1902493,GO:1902494,GO:1905368,GO:1990234	80	80.0	80.0	1.0	82350	0.0009714632665452338
