	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
0	GO:0000006	GO:0000006,GO:0003674,GO:0005215,GO:0005385,GO:0008324,GO:0015075,GO:0015318,GO:0022857,GO:0022890,GO:0046873,GO:0046915,GO:0072509	3	79.0	3.0	0.0379746835443038	77124	3.8898397386027695e-05
1	GO:0000007	GO:0000007,GO:0003674,GO:0005215,GO:0005385,GO:0008324,GO:0015075,GO:0015318,GO:0022857,GO:0022890,GO:0046873,GO:0046915,GO:0072509	1	79.0	1.0	0.012658227848101266	77124	1.2966132462009232e-05
2	GO:0000009	GO:0000009,GO:0000030,GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016758	17	127.0	17.0	0.13385826771653545	77124	0.00022042425185415693
3	GO:0000010	GO:0000010,GO:0003674,GO:0003824,GO:0016740,GO:0016765	5	553.0	5.0	0.009041591320072331	77124	6.483066231004616e-05
4	GO:0000014	GO:0000014,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0016787,GO:0016788,GO:0140097	34	162.0	34.0	0.20987654320987653	77124	0.00044084850370831386
5	GO:0000016	GO:0000016,GO:0003674,GO:0003824,GO:0004553,GO:0016787,GO:0016798	2	828.0	2.0	0.0024154589371980675	77124	2.5932264924018465e-05
6	GO:0000026	GO:0000026,GO:0000030,GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016758	24	127.0	24.0	0.1889763779527559	77124	0.00031118717908822156
7	GO:0000030	GO:0000030,GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016758	127	0.0	0.0		77124	0.0016466988226751724
8	GO:0000031	GO:0000031,GO:0003674,GO:0003824,GO:0016740	4	9614.0	4.0	0.00041605991262741833	77124	5.186452984803693e-05
9	GO:0000033	GO:0000030,GO:0000033,GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016758	9	127.0	9.0	0.07086614173228346	77124	0.00011669519215808309
10	GO:0000034	GO:0000034,GO:0003674,GO:0003824,GO:0016787,GO:0016810,GO:0016814,GO:0019239	7	106.0	7.0	0.0660377358490566	77124	9.076292723406462e-05
11	GO:0000035	GO:0000035,GO:0003674,GO:0005488	5	56880.0	5.0	8.790436005625879e-05	77124	6.483066231004616e-05
12	GO:0000036	GO:0000036,GO:0003674,GO:0005488,GO:0044620,GO:0051192,GO:0140104,GO:0140414	17	0.0	0.0		77124	0.00022042425185415693
13	GO:0000048	GO:0000048,GO:0003674,GO:0003824,GO:0016740,GO:0016746,GO:0016755,GO:0140096	2	0.0	0.0		77124	2.5932264924018465e-05
14	GO:0000049	GO:0000049,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0097159,GO:1901363	115	4048.0	115.0	0.028409090909090905	77124	0.0014911052331310617
15	GO:0000062	GO:0000062,GO:0000166,GO:0003674,GO:0005488,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:0120227,GO:1901265,GO:1901363,GO:1901567,GO:1901681	31	31.0	31.0	1.0	77124	0.0004019501063222862
16	GO:0000064	GO:0000064,GO:0003674,GO:0005215,GO:0005342,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015318,GO:0022857,GO:0046943	7	0.0	0.0		77124	9.076292723406462e-05
17	GO:0000095	GO:0000095,GO:0003674,GO:0005215,GO:0022857,GO:1901682	4	0.0	0.0		77124	5.186452984803693e-05
18	GO:0000099	GO:0000099,GO:0003674,GO:0005215,GO:0005342,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015318,GO:0022857,GO:0046943,GO:1901682	27	35.0	27.0	0.7714285714285715	77124	0.0003500855764742493
19	GO:0000100	GO:0000100,GO:0003674,GO:0005215,GO:0022857,GO:0072349,GO:1901682	2	0.0	0.0		77124	2.5932264924018465e-05
20	GO:0000102	GO:0000099,GO:0000102,GO:0003674,GO:0005215,GO:0005294,GO:0005342,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015191,GO:0015291,GO:0015318,GO:0022804,GO:0022853,GO:0022857,GO:0043865,GO:0046943,GO:1901680,GO:1901682	2	2.0	2.0	1.0	77124	2.5932264924018465e-05
21	GO:0000104	GO:0000104,GO:0003674,GO:0003824,GO:0016491,GO:0016627	25	309.0	25.0	0.08090614886731391	77124	0.0003241533115502308
22	GO:0000107	GO:0000107,GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016763	4	235.0	4.0	0.01702127659574468	77124	5.186452984803693e-05
23	GO:0000121	GO:0000121,GO:0003674,GO:0003824,GO:0016787,GO:0016788,GO:0016791,GO:0042578	4	1107.0	4.0	0.003613369467028004	77124	5.186452984803693e-05
24	GO:0000140	GO:0000140,GO:0003674,GO:0003824,GO:0016491,GO:0016614,GO:0016616	2	809.0	2.0	0.002472187886279357	77124	2.5932264924018465e-05
25	GO:0000146	GO:0000146,GO:0003674,GO:0003774,GO:0003824,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111	81	254.0	81.0	0.3188976377952756	77124	0.0010502567294227477
26	GO:0000149	GO:0000149,GO:0003674,GO:0005488,GO:0005515	173	46998.0	173.0	0.003681007702455424	77124	0.002243140915927597
27	GO:0000150	GO:0000150,GO:0003674,GO:0003824,GO:0140097	23	0.0	0.0		77124	0.0002982210466262123
28	GO:0000155	GO:0000155,GO:0003674,GO:0003824,GO:0004672,GO:0004673,GO:0016301,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0140096,GO:0140299	44	0.0	0.0		77124	0.0005705098283284062
29	GO:0000156	GO:0000156,GO:0003674,GO:0060089	37	0.0	0.0		77124	0.0004797469010943416
30	GO:0000166	GO:0000166,GO:0003674,GO:0005488,GO:0036094,GO:0097159,GO:1901265,GO:1901363	2133	2133.0	2133.0	1.0	77124	0.02765676054146569
31	GO:0000170	GO:0000170,GO:0003674,GO:0003824,GO:0016491	5	4404.0	5.0	0.0011353315168029065	77124	6.483066231004616e-05
32	GO:0000171	GO:0000171,GO:0003674,GO:0003824,GO:0004518,GO:0004540,GO:0016787,GO:0016788,GO:0140098	20	481.0	20.0	0.04158004158004158	77124	0.00025932264924018465
33	GO:0000175	GO:0000175,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0008408,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0140098	101	104.0	101.0	0.971153846153846	77124	0.0013095793786629323
34	GO:0000179	GO:0000179,GO:0003674,GO:0003824,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0016433,GO:0016740,GO:0016741,GO:0140098,GO:0140102	4	9.0	4.0	0.4444444444444444	77124	5.186452984803693e-05
35	GO:0000182	GO:0000182,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0043565,GO:0097159,GO:1901363,GO:1990837	37	3390.0	37.0	0.010914454277286136	77124	0.0004797469010943416
36	GO:0000210	GO:0000210,GO:0003674,GO:0003824,GO:0004551,GO:0016462,GO:0016787,GO:0016817,GO:0016818	6	37.0	6.0	0.16216216216216214	77124	7.779679477205539e-05
37	GO:0000213	GO:0000213,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0004549,GO:0016787,GO:0016788,GO:0016892,GO:0016894,GO:0140098,GO:0140101	5	5.0	5.0	1.0	77124	6.483066231004616e-05
38	GO:0000215	GO:0000215,GO:0003674,GO:0003824,GO:0016740,GO:0016772,GO:0016773,GO:0140098,GO:0140101	4	5.0	4.0	0.8	77124	5.186452984803693e-05
39	GO:0000217	GO:0000217,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363	105	6242.0	105.0	0.01682153156039731	77124	0.0013614439085109693
40	GO:0000224	GO:0000224,GO:0003674,GO:0003824,GO:0016787,GO:0016810,GO:0016811	9	399.0	9.0	0.022556390977443608	77124	0.00011669519215808309
41	GO:0000225	GO:0000225,GO:0003674,GO:0003824,GO:0016787,GO:0016810,GO:0016811,GO:0019213	5	161.0	5.0	0.031055900621118005	77124	6.483066231004616e-05
