	type	p_corr	r_sim	seq_iden
7878	ortholog	0.8109709727836851	0.6736972496452585	0.5878661087866108
2594	ortholog	0.7358532013944978	0.7758155196040909	0.5840978593272171
8615	ortholog	0.9524347315183823	0.9717312434042359	0.8062234794908062
4761	ortholog	0.7291444699163615	0.8555842317654929	0.6933333333333334
1235	ortholog	0.79566239352269	0.7552983935816442	0.5331125827814569
9033	ortholog	-0.32495469802819893	0.777251470094782	0.8360655737704918
2295	ortholog	0.004713358061917888	0.9783369850912065	0.7131474103585658
5597	ortholog	0.8389428822264303	0.8745458206938441	0.9685534591194969
5530	ortholog	0.772013194479684	0.6747603552259938	0.8390804597701149
8358	ortholog	0.9596335257702271	0.7547975250884899	0.814262023217247
7225	ortholog	-0.007268717200794264	0.7709529247228001	0.8997134670487106
1915	ortholog	-0.10460693381872939	0.9582541924765838	0.896875
4897	ortholog	0.5248992844065519	0.8191840288533059	0.7828162291169452
4098	ortholog	0.7760330733095414	0.936758416287707	0.9188118811881189
6485	ortholog	0.4751797132495382	0.900044541616038	0.9009708737864077
1297	ortholog	0.4455467071825137	0.876735602690643	0.8536585365853658
231	ortholog	0.4788448233328354	0.6802145671919566	0.6712707182320442
3591	ortholog	0.19757336895140296	0.3682626791678212	0.9859154929577465
9110	ortholog	-0.07640099142731353	0.9515993613145106	0.7870370370370371
950	ortholog	0.6764688485839473	0.6590379536559076	0.4734607218683652
3987	ortholog	0.6118265655487998	0.7888222938337991	0.7568306010928961
1663	ortholog	0.7247011861508706	0.8351206167634335	0.8162393162393162
7832	ortholog	0.5072282343435761	0.8434516209095992	0.9111111111111111
7857	ortholog	0.9079654783367135	0.8791723202170963	0.6029850746268657
1710	ortholog	-0.008752966939530232	0.8087840565345095	0.9169899146625291
5594	ortholog	0.1284168349026996	0.5845678400722909	0.677720207253886
5579	ortholog	0.20104059250917064	0.4565063567086134	0.7505197505197505
179	ortholog	0.07665991825126398	0.9087290944135747	0.7324675324675325
729	ortholog	0.7868602240576474	0.6923489996485839	0.7817258883248731
2608	ortholog	-0.12836704980138208	0.33950964381110693	0.8648648648648649
4321	ortholog	0.47163002784496444	0.8689520367619364	0.858843537414966
477	ortholog	-0.14805156605025643	0.7443425426545911	1.0
8699	ortholog	0.4166526347154641	0.425790079530452	0.9321148825065274
1481	ortholog	0.7067116070227487	0.6209193243712507	0.512
8802	ortholog	0.7169150312996353	0.7298679070118568	0.7325102880658436
9024	ortholog	0.6708364444837123	0.8158750453849462	0.8013392857142857
1186	ortholog	0.8339058227452936	0.8619766764899249	0.8372591006423983
214	ortholog	0.5896380799592345	0.41860573132402	0.8892988929889298
6928	ortholog	0.8698305241253504	0.9470614112495156	0.7578125
2951	ortholog	0.9536351786967873	0.9257194352311796	0.8
7883	ortholog	0.5918078305735752	0.678210516195022	0.9212121212121213
1777	ortholog	0.8246629471653639	0.7172193539417773	0.3347547974413646
3773	ortholog	0.47571352788213395	0.7248585821353974	0.7163323782234957
5013	ortholog	0.7018423146679026	0.9043841394186579	0.8309859154929577
3510	ortholog	-0.14206571383992117	0.11138919489198551	0.7627291242362525
3612	ortholog	0.8096883314785718	0.7085474589877623	0.9147286821705426
2949	ortholog	0.13809412700342236	0.820814256798413	0.8207964601769911
5247	ortholog	0.3031768588774918	0.9706373525933665	0.9001468428781204
1233	ortholog	0.6497232499061594	0.8491845092258377	0.8738317757009346
2273	ortholog	0.8067595431978545	0.8504638180463738	0.7558465855940131
1357	ortholog	0.354958902525945	0.5875361093559437	0.6950354609929078
5220	ortholog	0.1416306140502762	0.46896126994542664	0.852589641434263
8698	ortholog	0.8088898835906275	0.8176548794662405	0.8944444444444445
5912	ortholog	0.5444556335362798	0.8493391425029911	0.8249158249158249
4012	ortholog	0.9730376825270757	0.9449282652101082	0.8998609179415855
889	ortholog	0.7631673091359865	0.9359428000861951	0.9236514522821577
1179	ortholog	0.6929266358889946	0.8835762762503274	0.5785340314136126
1212	ortholog	0.7296530531687974	0.8425431416111318	0.7804232804232805
7056	ortholog	0.8935636538858377	0.7483300780499953	0.5340136054421769
3977	ortholog	0.42688426389176304	0.9801181357775383	0.9575289575289575
7927	ortholog	0.34262824062603353	0.5743434590625738	0.7248840803709428
4411	ortholog	0.9276299110173686	0.7601694278719645	0.7777777777777778
264	ortholog	-0.24519498153317149	-0.2531843306897379	0.7206349206349206
8734	ortholog	0.9990793774984911	0.2657461510786905	0.4875
3408	ortholog	0.55827185464339	0.7574838070093772	0.8582474226804123
3679	ortholog	0.35468295816956236	0.7523931212512925	0.916
9086	ortholog	0.7156357762157881	0.7124799395047463	0.7828282828282829
2565	ortholog	0.11927043423426742	0.2792020437132453	0.6547619047619048
6957	ortholog	0.34306403909506034	0.5186742009201545	0.9218241042345277
2293	ortholog	-0.14432804859640003	0.6308943172786055	0.8862745098039215
4409	ortholog	0.5697846275064037	0.4373997251848458	0.6374269005847953
8841	ortholog	0.05979479291354002	0.5529725637628289	0.7402597402597403
468	ortholog	0.48128548442360813	0.6420230532935016	0.5802469135802469
6375	ortholog	-0.16362386338052576	-0.11909248828762431	0.9177215189873418
1101	ortholog	0.9830665578271289	0.3833195320461369	0.9030898876404494
6586	ortholog	-0.01827558442210897	0.5945088756551418	0.854681647940075
2482	ortholog	0.4482699917151794	0.4825251631314402	0.5966386554621849
7533	ortholog	0.9722097307479072	0.8721576157344575	0.3956326268464997
9136	ortholog	0.7608602077370412	0.8251349105994109	0.7777777777777778
1044	ortholog	0.3882528220360683	0.8279521816200621	0.8873239436619719
6038	ortholog	0.6719952688867553	0.9287973710826068	0.9229480737018425
8364	ortholog	0.8431815174454123	0.8469664732257169	0.6615384615384615
6943	ortholog	0.5505032536629428	0.9387702254641909	0.8961538461538462
8267	ortholog	0.2892582131772775	0.456441011240442	0.3075
4175	ortholog	0.9246411376952822	0.9696982323177993	0.8229166666666666
1627	ortholog	0.6920689948488256	0.9668803148642018	0.9425287356321839
8017	ortholog	0.6645077582146546	0.7526160416251294	0.48484848484848486
5230	ortholog	0.5333506895497235	0.8087685951078958	0.8667262969588551
5326	ortholog	0.8413178109287686	0.8626279546615068	0.8735632183908046
8939	ortholog	0.37665801029336143	0.6541376104975114	0.7567567567567568
4054	ortholog	0.3600304354447272	0.399612446364513	0.8657407407407407
4699	ortholog	0.7610938772896609	0.8127947452604043	0.5396825396825397
2928	ortholog	-0.08548101337845304	0.600094509712239	0.8852459016393442
6853	ortholog	0.8570761143905117	0.885159065279806	0.33175355450236965
6566	ortholog	0.2173370838200409	0.7744415508933965	0.7073732718894009
4052	ortholog	0.6887098116430713	0.7562696036725949	0.8425925925925926
4170	ortholog	0.7118478853736524	0.8410055435297987	0.8088779284833539
968	ortholog	0.5982121013617283	0.7852522219942331	0.892
4206	ortholog	-0.7285891069790672	0.6881869215188612	0.7794117647058824
213	ortholog	0.7811210678379623	0.7908988775001964	0.4361111111111111
