gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
ENSRNOG00000047964	ENSRNOT00000072360	ENSRNOP00000064396	M0R4U9	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000050370	ENSRNOT00000073546	ENSRNOP00000065611	D4A685	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000032365	ENSRNOT00000041332	ENSRNOP00000039442	D3ZH81	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000040300	ENSRNOT00000062027	ENSRNOP00000058732	F7F021	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000061316	ENSRNOT00000087443	ENSRNOP00000073465	A0A0G2K5L0	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000050129	ENSRNOT00000075346	ENSRNOP00000067473	M0RCY4	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000023659	ENSRNOT00000028992	ENSRNOP00000036172	F1LUU5	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000029897	ENSRNOT00000044523	ENSRNOP00000066456	M0RAB1	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000042852	ENSRNOT00000062030	ENSRNOP00000058735	D3ZL40	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000055877	ENSRNOT00000083044	ENSRNOP00000074511	A0A0G2K887	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000014303	ENSRNOT00000019181	ENSRNOP00000019181	F1M753	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000014330	ENSRNOT00000019623	ENSRNOP00000019623	A0A140TAB9	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000049505	ENSRNOT00000080138	ENSRNOP00000071201	B0BNB5	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000049505	ENSRNOT00000073528	ENSRNOP00000066318	M0R9Y3	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000014916	ENSRNOT00000020098	ENSRNOP00000020098	F1M2K4	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000014996	ENSRNOT00000020417	ENSRNOP00000020417	Z4YNM2	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000015239	ENSRNOT00000020810	ENSRNOP00000020811	D3ZJB2	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000053710	ENSRNOT00000087944	ENSRNOP00000073655	A0A0G2K632	Uniprot/SPTREMBL	DIRECT	100	100	-
ENSRNOG00000015552	ENSRNOT00000021437	ENSRNOP00000021437	D4AEG3	Uniprot/SPTREMBL	DIRECT	100	100	-
