	xref_x	go_term_x	path_x	xref_y	go_term_y	path_y	p1	p2	brain_x	kidney_x	liver_x	brain_y	kidney_y	liver_y	type	sc_sim	yc_sim	p_corr	r_sim
0	P48455	GO:0005515	GO:0003674,GO:0005488,GO:0005515	E2CWF1	GO:0005515	GO:0003674,GO:0005488,GO:0005515	ENSMUSG00000022092	ENSRNOG00000009745	9.768303333333334	7.656646666666667	1.3172283333333334	14.1865	6.411906666666668	3.3690266666666666	ortholog	1.0	1.0	1.0	0.8410823766434512
1	P07379	GO:0004550,GO:0004611,GO:0004613,GO:0005525,GO:0019003,GO:0030145,GO:0031406	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0004550,GO:0004611,GO:0004613,GO:0005488,GO:0005525,GO:0016301,GO:0016740,GO:0016772,GO:0016776,GO:0016829,GO:0016830,GO:0016831,GO:0017076,GO:0019001,GO:0019003,GO:0019205,GO:0030145,GO:0031406,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0046872,GO:0046914,GO:0097159,GO:0097367,GO:1901265,GO:1901363	Q9Z2V4	GO:0004611,GO:0004613	GO:0003674,GO:0003824,GO:0004611,GO:0004613,GO:0016829,GO:0016830,GO:0016831	ENSRNOG00000028616	ENSMUSG00000027513	0.16025733333333333	401.676	261.79966666666667	0.4923813333333333	1097.2933333333333	813.6096666666666	ortholog	0.4444444444444444	0.22060018646013546	1.0	0.9980782937661055
3	P12390	GO:0005515,GO:0022848,GO:0042166,GO:0044877,GO:1904315	GO:0003674,GO:0005215,GO:0005216,GO:0005230,GO:0005231,GO:0005261,GO:0005488,GO:0005515,GO:0008324,GO:0015075,GO:0015267,GO:0015276,GO:0015318,GO:0022803,GO:0022824,GO:0022834,GO:0022835,GO:0022836,GO:0022848,GO:0022857,GO:0022890,GO:0030594,GO:0038023,GO:0042165,GO:0042166,GO:0043167,GO:0043169,GO:0044877,GO:0060089,GO:0098960,GO:0099094,GO:0099529,GO:1904315	Q9ERK7	GO:0005515,GO:0022848,GO:1904315	GO:0003674,GO:0005215,GO:0005216,GO:0005230,GO:0005231,GO:0005261,GO:0005488,GO:0005515,GO:0008324,GO:0015075,GO:0015267,GO:0015276,GO:0015318,GO:0022803,GO:0022824,GO:0022834,GO:0022835,GO:0022836,GO:0022848,GO:0022857,GO:0022890,GO:0030594,GO:0038023,GO:0060089,GO:0098960,GO:0099094,GO:0099529,GO:1904315	ENSRNOG00000020778	ENSMUSG00000027950	26.287966666666666	0.09695326666666666	0.0	14.155533333333333	1.0463976666666666	0.5155850000000001	ortholog	0.7792528050506877	0.47279673588498417	1.0	0.29068322981366457
4	Q61425	GO:0003857,GO:0005515	GO:0003674,GO:0003824,GO:0003857,GO:0005488,GO:0005515,GO:0016491,GO:0016614,GO:0016616	Q9WVK7	GO:0003857	GO:0003674,GO:0003824,GO:0003857,GO:0016491,GO:0016614,GO:0016616	ENSMUSG00000027984	ENSRNOG00000010697	11.065133333333335	247.40900000000002	177.28133333333335	19.547933333333333	215.95033333333333	221.1383333333333	ortholog	0.6666666666666666	0.9266953638811487	-1.0	0.9902429156097787
5	Q3KR94	GO:0005518,GO:0008201,GO:0042802	GO:0003674,GO:0005488,GO:0005515,GO:0005518,GO:0005539,GO:0008201,GO:0042802,GO:0043167,GO:0043168,GO:0044877,GO:0097367,GO:1901681	P29788	GO:0050840	GO:0003674,GO:0005488,GO:0050840	ENSRNOG00000010031	ENSMUSG00000017344	22.5285	1.7967976666666663	2418.9	36.32476666666667	1.6609526666666667	1261.96	ortholog	0.05706384914682053	0.20487657549613447	1.0	0.9926388728933934
6	P0DP27	GO:0005509	GO:0003674,GO:0005488,GO:0005509,GO:0043167,GO:0043169,GO:0046872	P0DP31	GO:0005509,GO:0005515,GO:0008179,GO:0030235,GO:0044325,GO:0047485,GO:0050998	GO:0003674,GO:0005488,GO:0005509,GO:0005515,GO:0008179,GO:0019899,GO:0030234,GO:0030235,GO:0043167,GO:0043169,GO:0044325,GO:0046872,GO:0047485,GO:0050998,GO:0098772	ENSMUSG00000036438	ENSRNOG00000004060	1061.2233333333334	102.05833333333334	68.38383333333333	1419.503333333333	263.35400000000004	132.63466666666667	ortholog	0.29101399408494055	0.13911490354605227	1.0	0.9929555051936595
7	Q9Z254	GO:0005515,GO:0030165	GO:0003674,GO:0005488,GO:0005515,GO:0019904,GO:0030165	Q9Z0G0	GO:0003779,GO:0005096,GO:0005515,GO:0017022,GO:0042802	GO:0003674,GO:0003779,GO:0005096,GO:0005488,GO:0005515,GO:0008047,GO:0008092,GO:0017022,GO:0030234,GO:0030695,GO:0042802,GO:0060589,GO:0098772	ENSRNOG00000003864	ENSMUSG00000019433	36.444766666666666	38.229533333333336	11.428866666666664	25.247	19.6368	4.663273333333334	ortholog	0.4017968265848641	0.2911076933625898	1.0	0.9374484852674512
9	Q5U2U8	GO:0044877	GO:0003674,GO:0005488,GO:0044877	Q9JLV1	GO:0005515,GO:0044877	GO:0003674,GO:0005488,GO:0005515,GO:0044877	ENSRNOG00000020298	ENSMUSG00000030847	5.033566666666666	31.190866666666665	15.3138	3.122243333333333	13.492633333333332	13.339733333333333	ortholog	0.718578029803961	0.9470725299297214	1.0	0.8428263091042795
11	Q6IMY8	GO:0003723,GO:0005515,GO:0034046,GO:0043021,GO:1990841	GO:0003674,GO:0003676,GO:0003682,GO:0003723,GO:0003727,GO:0005488,GO:0005515,GO:0034046,GO:0043021,GO:0044877,GO:0070717,GO:0097159,GO:1901363,GO:1990841	Q8VEK3	GO:0000978,GO:0003723,GO:0005515,GO:0043565,GO:0099122,GO:1990841	GO:0000976,GO:0000977,GO:0000978,GO:0000987,GO:0000993,GO:0001067,GO:0001098,GO:0001099,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003723,GO:0005488,GO:0005515,GO:0019899,GO:0043175,GO:0043565,GO:0070063,GO:0097159,GO:0099122,GO:1901363,GO:1990837,GO:1990841	ENSRNOG00000033790	ENSMUSG00000039630	177.00233333333335	106.65700000000001	61.032	180.675	96.29216666666666	68.61086666666667	ortholog	0.7255631293589456	0.4720720936114914	1.0	0.9553383763730691
12	Q9D074	GO:0005515,GO:0061630	GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0016740,GO:0019787,GO:0061630,GO:0061659,GO:0140096	Q5XIQ4	GO:0005515	GO:0003674,GO:0005488,GO:0005515	ENSMUSG00000022517	ENSRNOG00000003234	74.6079	69.25849999999998	29.35536666666667	116.367	53.97036666666667	11.568736666666664	ortholog	0.6666666666666666	0.0818048344737472	1.0	0.8919828691275715
