gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
SPAC212.11	SPAC212.11.1	SPAC212.11.1:pep	P0CT33	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC212.08c	SPAC212.08c.1	SPAC212.08c.1:pep	Q9HGP7	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC212.12	SPAC212.12.1	SPAC212.12.1:pep	C6Y4B5	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC212.12	SPAC212.12.1	SPAC212.12.1:pep	Q9P3E4	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC212.06c	SPAC212.06c.1	SPAC212.06c.1:pep	G2TRN7	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC212.04c	SPAC212.04c.1	SPAC212.04c.1:pep	Q9HGP8	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC212.03	SPAC212.03.1	SPAC212.03.1:pep	Q9HGP9	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC212.02	SPAC212.02.1	SPAC212.02.1:pep	Q9HGQ0	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC212.01c	SPAC212.01c.1	SPAC212.01c.1:pep	Q9HGQ1	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.18	SPAC977.18.1	SPAC977.18.1:pep	G2TRM1	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.02	SPAC977.02.1	SPAC977.02.1:pep	Q9P332	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.03	SPAC977.03.1	SPAC977.03.1:pep	Q9P7U5	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.04	SPAC977.04.1	SPAC977.04.1:pep	G2TRN8	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.05c	SPAC977.05c.1	SPAC977.05c.1:pep	Q9P7U4	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.06	SPAC977.06.1	SPAC977.06.1:pep	Q9P7U3	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.07c	SPAC977.07c.1	SPAC977.07c.1:pep	Q9P329	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.08	SPAC977.08.1	SPAC977.08.1:pep	Q9P324	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.09c	SPAC977.09c.1	SPAC977.09c.1:pep	Q9P327	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.10	SPAC977.10.1	SPAC977.10.1:pep	P36606	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.11	SPAC977.11.1	SPAC977.11.1:pep	Q9UTS8	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.12	SPAC977.12.1	SPAC977.12.1:pep	Q9UTS7	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.14c	SPAC977.14c.1	SPAC977.14c.1:pep	Q9P7U2	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.15	SPAC977.15.1	SPAC977.15.1:pep	Q9P7U1	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
SPAC977.16c	SPAC977.16c.1	SPAC977.16c.1:pep	O74215	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
