gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
WBGene00088809	CBG27395.1	CBG27395.1	H8WGW4	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00026866	CBG04131.1	CBG04131.1	A8WVM5	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00026868	CBG04133b.1	CBG04133b.1	A8WVM7	Uniprot/SPTREMBL	SEQUENCE_MATCH	96	100	-
WBGene00026869	CBG04134.1	CBG04134.1	A8WVM8	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00026870	CBG04135a.1	CBG04135a.1	A8WVM9	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	99	-
WBGene00026871	CBG04136.1	CBG04136.1	A8WVN0	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00026875	CBG04140c.1	CBG04140c.1	A8WVN4	Uniprot/SPTREMBL	SEQUENCE_MATCH	82	97	-
WBGene00026875	CBG04140d.1	CBG04140d.1	A8WVN4	Uniprot/SPTREMBL	SEQUENCE_MATCH	82	97	-
WBGene00026877	CBG04143.1	CBG04143.1	E3CTW8	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029917	CBG08050.1	CBG08050.1	E3CTZ8	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029918	CBG08051.1	CBG08051.1	A8X5P0	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029919	CBG08052.1	CBG08052.1	A8X5P1	Uniprot/SPTREMBL	SEQUENCE_MATCH	78	100	-
WBGene00029921	CBG08054a.1	CBG08054a.1	A8X5P3	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029922	CBG08056.1	CBG08056.1	A8X5P4	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029925	CBG08059b.1	CBG08059b.1	A8X5P7	Uniprot/SPTREMBL	SEQUENCE_MATCH	99	97	-
WBGene00029926	CBG08060.1	CBG08060.1	A8X5P8	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029927	CBG08061a.1	CBG08061a.1	A8X5P9	Uniprot/SPTREMBL	SEQUENCE_MATCH	85	100	-
WBGene00029928	CBG08062.1	CBG08062.1	A8X5Q0	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029929	CBG08063.1	CBG08063.1	A8X5Q1	Uniprot/SPTREMBL	SEQUENCE_MATCH	91	100	-
WBGene00029930	CBG08064.1	CBG08064.1	A8X5Q2	Uniprot/SPTREMBL	SEQUENCE_MATCH	79	100	-
WBGene00029931	CBG08066a.1	CBG08066a.1	A8X5Q3	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029935	CBG08070.1	CBG08070.1	A8X5Q7	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029938	CBG08073.1	CBG08073.1	A8X5R0	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029942	CBG08079.1	CBG08079.1	A8X5R4	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029943	CBG08080.1	CBG08080.1	A8X5R5	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029944	CBG08081.1	CBG08081.1	A8X5R6	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029945	CBG08082.1	CBG08082.1	A8X5R7	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029946	CBG08083.1	CBG08083.1	A8X5R8	Uniprot/SPTREMBL	SEQUENCE_MATCH	90	100	-
WBGene00029948	CBG08085a.1	CBG08085a.1	A8X5S0	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029949	CBG08086.1	CBG08086.1	A8X5S1	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029950	CBG08087.1	CBG08087.1	A8X5S2	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029953	CBG08090.1	CBG08090.1	A8X5S5	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	98	-
WBGene00029954	CBG08091.1	CBG08091.1	A8X5S6	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	96	-
WBGene00029955	CBG08092a.1	CBG08092a.1	A8X5S7	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029956	CBG08093.1	CBG08093.1	A8X5S8	Uniprot/SPTREMBL	SEQUENCE_MATCH	87	98	-
WBGene00029959	CBG08096.1	CBG08096.1	A8X5T1	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	99	-
WBGene00029959	CBG08096.2	CBG08096.2	A8X5T1	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	99	-
WBGene00029959	CBG08096.3	CBG08096.3	A8X5T1	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	99	-
WBGene00029959	CBG08096.4	CBG08096.4	A8X5T1	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	99	-
WBGene00029959	CBG08096.5	CBG08096.5	A8X5T1	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	99	-
WBGene00029960	CBG08097.1	CBG08097.1	A8X5T2	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029962	CBG08099.1	CBG08099.1	A8X5T4	Uniprot/SPTREMBL	SEQUENCE_MATCH	99	96	-
WBGene00029966	CBG08105.1	CBG08105.1	A8X5T8	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029969	CBG08108.1	CBG08108.1	A8X5U1	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	98	-
WBGene00029973	CBG08112.1	CBG08112.1	A8X5U5	Uniprot/SPTREMBL	SEQUENCE_MATCH	89	98	-
WBGene00029974	CBG08113.1	CBG08113.1	A8X5U6	Uniprot/SPTREMBL	SEQUENCE_MATCH	99	96	-
WBGene00029977	CBG08117.1	CBG08117.1	A8X5U9	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029978	CBG08118.1	CBG08118.1	A8X5V0	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029979	CBG08119.1	CBG08119.1	A8X5V1	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029980	CBG08120.1	CBG08120.1	A8X5V2	Uniprot/SPTREMBL	SEQUENCE_MATCH	87	98	-
WBGene00029982	CBG08123a.1	CBG08123a.1	A8X5V4	Uniprot/SPTREMBL	SEQUENCE_MATCH	96	100	-
WBGene00029983	CBG08124a.1	CBG08124a.1	A8X5V5	Uniprot/SPTREMBL	SEQUENCE_MATCH	97	98	-
WBGene00029986	CBG08128a.1	CBG08128a.1	A8X5V8	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029987	CBG08129.1	CBG08129.1	A8X5V9	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029989	CBG08131.1	CBG08131.1	A8X5W1	Uniprot/SPTREMBL	SEQUENCE_MATCH	74	100	-
WBGene00029991	CBG08133.1	CBG08133.1	A8X5W3	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	97	-
WBGene00088805	CBG27391.1	CBG27391.1	B6IH07	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029995	CBG08139a.1	CBG08139a.1	A8X5W7	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029997	CBG08141.1	CBG08141.1	A8X5W9	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00029998	CBG08142.1	CBG08142.1	A8X5X0	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030000	CBG08144.1	CBG08144.1	A8X5X2	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030002	CBG08146a.1	CBG08146a.1	A8X5X4	Uniprot/SPTREMBL	SEQUENCE_MATCH	99	96	-
WBGene00030003	CBG08147.1	CBG08147.1	A8X5X5	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030007	CBG08153.1	CBG08153.1	A8X5X9	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030010	CBG08158a.1	CBG08158a.1	A8X5Y2	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030011	CBG08159.1	CBG08159.1	A8X5Y3	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030012	CBG08160.1	CBG08160.1	A8X5Y4	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030013	CBG08161.1	CBG08161.1	A8X5Y5	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030018	CBG08166.1	CBG08166.1	A8X5Z0	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030022	CBG08170.1	CBG08170.1	A8X5Z4	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030023	CBG08171.1	CBG08171.1	A8X5Z5	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030028	CBG08176.1	CBG08176.1	A8X600	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030029	CBG08177.1	CBG08177.1	A8X601	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
WBGene00030030	CBG08178.1	CBG08178.1	Q5WN23	Uniprot/SWISSPROT	SEQUENCE_MATCH	100	100	-
WBGene00030032	CBG08181.1	CBG08181.1	A8X604	Uniprot/SPTREMBL	SEQUENCE_MATCH	100	100	-
