ENSRNOG00000000885	Auts2
ENSRNOG00000001493	Kptn
ENSRNOG00000002807	Septin9
ENSRNOG00000003688	4933400A11Rik
ENSRNOG00000004032	Tmem94
ENSRNOG00000004744	Lratd2
ENSRNOG00000004947	Zfp871
ENSRNOG00000010057	Clec4n
ENSRNOG00000010749	Olfr286
ENSRNOG00000014331	Zfp810
ENSRNOG00000017252	Olfr656
ENSRNOG00000019592	Iqca
ENSRNOG00000019655	Atp6v0b
ENSRNOG00000020272	5330417C22Rik
ENSRNOG00000020280	Armc6
ENSRNOG00000020996	Vps51
ENSRNOG00000021900	Zfp873
ENSRNOG00000021988	Olfr225
ENSRNOG00000022632	Taf7l2
ENSRNOG00000024560	1700123L14Rik
ENSRNOG00000027296	Pcdhga6
ENSRNOG00000028650	Inf2
ENSRNOG00000029760	Sprr2h
ENSRNOG00000031210	Vmn1r83
ENSRNOG00000031459	Zfp128
ENSRNOG00000032522	B630019K06Rik
ENSRNOG00000032668	Zfp950
ENSRNOG00000033413	Olfr1320
ENSRNOG00000033693	Naip2
ENSRNOG00000034190	Ighm
ENSRNOG00000039592	1700066B19Rik
ENSRNOG00000041307	Mir883b
ENSRNOG00000041411	Gm22953
ENSRNOG00000041443	Gm25317
ENSRNOG00000041449	Gm23880
ENSRNOG00000041450	Mir1251
ENSRNOG00000041563	Gm25773
ENSRNOG00000041621	Gm24589
ENSRNOG00000041758	Mir1907
ENSRNOG00000041787	Mir1903
ENSRNOG00000041792	Mir1895
ENSRNOG00000041870	Mir1893
ENSRNOG00000042112	Trbv16
ENSRNOG00000042394	4933403O08Rik
ENSRNOG00000043023	Msmp
ENSRNOG00000043596	Gm23134
ENSRNOG00000043926	Gm23222
ENSRNOG00000044194	Snora47
ENSRNOG00000045100	Gm22892
ENSRNOG00000045884	Gm25994
ENSRNOG00000046028	Haus6
ENSRNOG00000046194	Mir5126
ENSRNOG00000046235	Olfr1442
ENSRNOG00000046262	3110082J24Rik
ENSRNOG00000046355	Olfr122
ENSRNOG00000046630	Mir135a-1
ENSRNOG00000047135	Mir365-1
ENSRNOG00000047216	Mir26a-2
ENSRNOG00000047309	Smim10l1
ENSRNOG00000047310	4930444P10Rik
ENSRNOG00000048399	Mir3059
ENSRNOG00000048436	Olfr574
ENSRNOG00000048468	Trbv1
ENSRNOG00000048912	Gm47305
ENSRNOG00000048966	1700092M07Rik
ENSRNOG00000048986	D430019H16Rik
ENSRNOG00000049077	Mir5125
ENSRNOG00000049112	Mir744
ENSRNOG00000049439	Gm24572
ENSRNOG00000049532	Mir2861
ENSRNOG00000049599	Mir199b
ENSRNOG00000049662	Zfp708
ENSRNOG00000050209	Fam240b
ENSRNOG00000050318	Fsd1
ENSRNOG00000050367	Gm22877
ENSRNOG00000050405	Mir3106
ENSRNOG00000050600	Zfp872
ENSRNOG00000051059	Ly6g6g
ENSRNOG00000051367	Gm26293
ENSRNOG00000051388	Gm25501
ENSRNOG00000051396	AF357425
ENSRNOG00000051428	Gm23877
ENSRNOG00000051515	Gm24958
ENSRNOG00000051532	Snora68
ENSRNOG00000051535	Gm22473
ENSRNOG00000051542	Gm22711
ENSRNOG00000051550	Gm25278
ENSRNOG00000051585	Gm23245
ENSRNOG00000051605	Gm23187
ENSRNOG00000051617	Gm27265
ENSRNOG00000051765	Gm25614
ENSRNOG00000051799	Olfr390
ENSRNOG00000051800	Mir486
ENSRNOG00000051814	Gm22910
ENSRNOG00000051839	Gm44351
ENSRNOG00000051849	Mir15a
ENSRNOG00000051850	Scarna2
ENSRNOG00000051864	Gm26016
ENSRNOG00000051897	Gm24071
ENSRNOG00000051919	Gm23439
ENSRNOG00000051927	Snord98
ENSRNOG00000051978	Snord1b
ENSRNOG00000052065	Gm26077
ENSRNOG00000052095	Gm25624
ENSRNOG00000052104	Olfr1085
ENSRNOG00000052115	Gm24029
ENSRNOG00000052156	Gm26457
ENSRNOG00000052196	Gm24519
ENSRNOG00000052201	Gm22676
ENSRNOG00000052300	Snord35b
ENSRNOG00000052344	Gm22711
ENSRNOG00000052408	Gm22267
ENSRNOG00000052417	Gm23822
ENSRNOG00000052438	Gm24377
ENSRNOG00000052476	Gm25803
ENSRNOG00000052484	Gm24420
ENSRNOG00000052573	Snord17
ENSRNOG00000052577	Gm23297
ENSRNOG00000052607	Gm24336
ENSRNOG00000052617	Snord67
ENSRNOG00000052660	Gm25296
ENSRNOG00000052797	Gm25528
ENSRNOG00000052816	Gm26070
ENSRNOG00000052856	Gm22387
ENSRNOG00000052900	Gm25169
ENSRNOG00000052910	Gm25820
ENSRNOG00000052950	Scarna8
ENSRNOG00000052988	Gm23176
ENSRNOG00000053003	Snord11
ENSRNOG00000053078	Rnu11
ENSRNOG00000053127	Gm22472
ENSRNOG00000053177	Gm24348
ENSRNOG00000053191	Gm23267
ENSRNOG00000053218	Gm23734
ENSRNOG00000053219	Gm24161
ENSRNOG00000053261	Gm22504
ENSRNOG00000053310	Gm25539
ENSRNOG00000053403	Gm23595
ENSRNOG00000053421	Gm24556
ENSRNOG00000053438	Snora7a
ENSRNOG00000053462	Gm26397
ENSRNOG00000053492	Gm23745
ENSRNOG00000053534	Snora78
ENSRNOG00000053545	Gm26236
ENSRNOG00000053560	Rhou
ENSRNOG00000053584	Gm26406
ENSRNOG00000053586	Snord19
ENSRNOG00000053606	Scarna6
ENSRNOG00000053611	Gm26436
ENSRNOG00000053621	Snord2
ENSRNOG00000053634	Scarna3a
ENSRNOG00000053651	Gm22704
ENSRNOG00000053674	Gm22571
ENSRNOG00000053707	Gm26416
ENSRNOG00000053716	Gm25758
ENSRNOG00000053757	Gm24451
ENSRNOG00000053784	Gm23748
ENSRNOG00000053793	Gm23604
ENSRNOG00000053795	Gm24494
ENSRNOG00000053854	AF357428
ENSRNOG00000053926	Gm22470
ENSRNOG00000053927	Gm22009
ENSRNOG00000053940	Gm27457
ENSRNOG00000053973	Gm24837
ENSRNOG00000053988	Snord52
ENSRNOG00000054116	Gm25561
ENSRNOG00000054130	Gm27401
ENSRNOG00000054183	Gm27675
ENSRNOG00000054269	Trav6-2
ENSRNOG00000054326	Gm23991
ENSRNOG00000054347	Gm26224
ENSRNOG00000054517	Snora33
ENSRNOG00000054529	Gm25395
ENSRNOG00000054559	Snord61
ENSRNOG00000054588	Hhla1
ENSRNOG00000054607	Gm23650
ENSRNOG00000054660	Gm24780
ENSRNOG00000054683	Gm24335
ENSRNOG00000054739	Snord110
ENSRNOG00000054746	Gm26079
ENSRNOG00000054762	Gm22435
ENSRNOG00000054830	Gm25408
ENSRNOG00000054872	Snord1c
ENSRNOG00000054874	Gm23593
ENSRNOG00000054884	Gm26175
ENSRNOG00000054955	Adgra1
ENSRNOG00000054970	Snord53
ENSRNOG00000054973	Snora65
ENSRNOG00000054983	Gm23751
