gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
WBGene00015153	B0348.5a.1	B0348.5a.1	A0A0K3AV61	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00015153	B0348.5b.1	B0348.5b.1	A0A0K3AUN6	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00002061	B0348.6a.1	B0348.6a.1	O61955	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00002061	B0348.6a.2	B0348.6a.2	O61955	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00002061	B0348.6b.1	B0348.6b.1	O61955	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00002061	B0348.6b.2	B0348.6b.2	O61955	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00002061	B0348.6c.1	B0348.6c.1	O61955	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00002061	B0348.6c.2	B0348.6c.2	O61955	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00255704	B0348.10.1	B0348.10.1	A0A0K3ARQ1	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00001177	B0348.4a.1	B0348.4a.1	G5EBH0	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00001177	B0348.4b.1	B0348.4b.1	G5EBH0	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00001177	B0348.4c.1	B0348.4c.1	G5EBH0	Uniprot/SWISSPROT	DEPENDENT	-	-	-
WBGene00001177	B0348.4d.1	B0348.4d.1	A0A0K3AXH8	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00001177	B0348.4e.1	B0348.4e.1	A0A0K3AS71	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00001177	B0348.4f.1	B0348.4f.1	A0A0K3AUL3	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00001177	B0348.4g.1	B0348.4g.1	A0A0K3ARQ7	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00001177	B0348.4h.1	B0348.4h.1	A0A0K3AV83	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00001177	B0348.4i.1	B0348.4i.1	A0A0K3AXI3	Uniprot/SPTREMBL	DEPENDENT	-	-	-
WBGene00001177	B0348.4j.1	B0348.4j.1	A0A0K3AS74	Uniprot/SPTREMBL	DEPENDENT	-	-	-
