	xref_x	go_term_x	path_x	xref_y	go_term_y	path_y	p1	p2	Brain_x	Colon_x	Duodenum_x	Esophagus_x	Heart_x	Ileum_x	Jejunum_x	Kidney_x	Liver_x	Pancreas_x	Quadriceps_x	Stomach_x	Thymus_x	Brain_y	Colon_y	Duodenum_y	Esophagus_y	Heart_y	Ileum_y	Jejunum_y	Kidney_y	Liver_y	Pancreas_y	Quadriceps_y	Stomach_y	Thymus_y	type	sc_sim	yc_sim	p_corr	r_sim
0	P42260	GO:0005887,GO:0008328,GO:0030424,GO:0030425,GO:0032839,GO:0043195,GO:0043204,GO:0045202	GO:0005575,GO:0005622,GO:0005737,GO:0005886,GO:0005887,GO:0008328,GO:0016020,GO:0016021,GO:0030054,GO:0030424,GO:0030425,GO:0031224,GO:0031226,GO:0032838,GO:0032839,GO:0032991,GO:0034702,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0043195,GO:0043204,GO:0043235,GO:0043679,GO:0044297,GO:0044306,GO:0045202,GO:0071944,GO:0097447,GO:0098793,GO:0098796,GO:0098797,GO:0098802,GO:0098878,GO:0099568,GO:0110165,GO:0120025,GO:0120111,GO:0150034,GO:1902495,GO:1990351	P39087	GO:0008328,GO:0014069,GO:0016020,GO:0032983,GO:0042734,GO:0043025,GO:0045202,GO:0045211,GO:0098686,GO:0098978	GO:0005575,GO:0005886,GO:0005887,GO:0008328,GO:0014069,GO:0016020,GO:0016021,GO:0030054,GO:0031224,GO:0031226,GO:0032279,GO:0032983,GO:0032991,GO:0034702,GO:0034703,GO:0034705,GO:0034706,GO:0036477,GO:0042734,GO:0043025,GO:0043226,GO:0043235,GO:0044297,GO:0045202,GO:0045211,GO:0071944,GO:0097060,GO:0098590,GO:0098686,GO:0098793,GO:0098794,GO:0098796,GO:0098797,GO:0098802,GO:0098878,GO:0098978,GO:0098984,GO:0099572,GO:0110165,GO:1902495,GO:1990351	ENSRNOG00000000368	ENSMUSG00000056073	14.054333333333336	0.7216666666666667	0.13433333333333333	1.8020000000000005	0.3406666666666667	0.39033333333333337	0.18533333333333332	1.652	0.013333333333333334	0.035666666666666666	0.109	0.188	0.959	17.392	0.18266666666666667	0.044333333333333336	0.5723333333333334	0.11533333333333333	0.115	0.036000000000000004	0.034	0.0	0.027000000000000003	0.02733333333333333	0.2	0.03033333333333333	ortholog	0.7674201005412583	0.6475528413633983	0.5875508404910322	0.5011473459138605
1	Q91WV7	GO:0031526	GO:0005575,GO:0005886,GO:0005903,GO:0016020,GO:0031253,GO:0031526,GO:0042995,GO:0071944,GO:0098590,GO:0098862,GO:0110165,GO:0120025	Q64319	GO:0005774,GO:0005886,GO:0005887	GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0005774,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031090,GO:0031224,GO:0031226,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0071944,GO:0098588,GO:0098805,GO:0110165	ENSMUSG00000024131	ENSRNOG00000007006	0.2366666666666667	15.03566666666667	69.51466666666666	0.16366666666666668	0.444	172.09533333333337	158.82633333333334	322.942	16.478333333333335	0.4456666666666667	0.26866666666666666	0.5326666666666666	1.032	36.309	3.049666666666667	133.30399999999997	7.411333333333333	14.116666666666665	91.897	138.38866666666667	1024.2723333333329	1.7376666666666667	0.7953333333333333	8.101333333333335	2.9643333333333337	1.4489999999999998	ortholog	0.34079218824087865	0.3771340965319002	0.8762272964504988	0.6184286645034947
2	Q9D7Z6	GO:0005902,GO:0016021,GO:0030141	GO:0005575,GO:0005622,GO:0005737,GO:0005902,GO:0012505,GO:0016020,GO:0016021,GO:0030141,GO:0031224,GO:0031410,GO:0031982,GO:0042995,GO:0043226,GO:0043227,GO:0043229,GO:0097708,GO:0098858,GO:0099503,GO:0110165,GO:0120025	A0A0G2JWX9	GO:0042589	GO:0005575,GO:0005622,GO:0005737,GO:0012505,GO:0012506,GO:0016020,GO:0030141,GO:0030659,GO:0030667,GO:0031090,GO:0031410,GO:0031982,GO:0042588,GO:0042589,GO:0043226,GO:0043227,GO:0043229,GO:0097708,GO:0098588,GO:0098805,GO:0099503,GO:0110165	ENSMUSG00000028255	ENSRNOG00000060831	0.5446666666666666	2120.0066666666667	707.9606666666667	2.3783333333333334	1.0236666666666665	908.5846666666667	619.4313333333333	0.911	1.2293333333333336	1.0503333333333331	0.4040000000000001	24.553	1.7056666666666669	2.774	740.8683333333332	474.86066666666665	0.3673333333333333	0.3543333333333333	435.789	618.4796666666666	0.4	1.5499999999999998	2.9913333333333334	0.43200000000000005	355.28399999999993	0.6153333333333334	ortholog	0.3885931649343385	0.5375438863073445	0.8531965508066671	0.8683612233409225
3	P28841	GO:0030141,GO:0030425,GO:0034774,GO:0043025,GO:0043204	GO:0005575,GO:0005622,GO:0005737,GO:0012505,GO:0030141,GO:0030425,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0034774,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0043204,GO:0043226,GO:0043227,GO:0043229,GO:0043233,GO:0044297,GO:0060205,GO:0070013,GO:0097447,GO:0097708,GO:0099503,GO:0110165,GO:0120025	P21661	GO:0005615,GO:0005788,GO:0034774	GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005737,GO:0005783,GO:0005788,GO:0012505,GO:0030141,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0034774,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0060205,GO:0070013,GO:0097708,GO:0099503,GO:0110165	ENSRNOG00000005438	ENSMUSG00000027419	67.01533333333333	3.9036666666666666	0.31666666666666665	0.08766666666666667	0.019000000000000003	0.434	0.535	0.02433333333333333	0.02633333333333333	1.4546666666666666	0.007333333333333334	1.5816666666666668	0.41700000000000004	69.27466666666668	0.7879999999999999	0.4343333333333333	2.173666666666666	0.040999999999999995	0.5653333333333334	0.3613333333333333	0.017333333333333336	0.008666666666666666	1.7203333333333333	0.06266666666666666	1.3476666666666668	0.08266666666666668	ortholog	0.4142221315219867	0.48335857858369047	0.3194963281427376	0.6639856250534781
4	Q5S3S9	GO:0005634,GO:0005829,GO:0005886	GO:0005575,GO:0005622,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0071944,GO:0110165	Q3UQ17	GO:0005634	GO:0005575,GO:0005622,GO:0005634,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	ENSRNOG00000029980	ENSMUSG00000066687	8.048	7.265999999999999	1.169	7.817999999999999	15.421	2.1166666666666667	1.9976666666666667	2.490333333333333	7.332999999999998	0.8393333333333333	4.125666666666667	1.838666666666667	0.37666666666666665	5.672000000000001	1.4423333333333332	0.5096666666666667	6.987666666666667	7.686666666666666	0.503	0.6309999999999999	1.1216666666666668	1.6226666666666667	0.12933333333333333	9.586333333333334	1.2106666666666668	0.7693333333333333	ortholog	0.5530761235385033	0.25548409912466774	0.6340892083290891	0.7504668200738541
5	P70580	GO:0014069,GO:0043005,GO:0043025,GO:0044297,GO:0045202	GO:0005575,GO:0014069,GO:0030054,GO:0032279,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0043226,GO:0044297,GO:0045202,GO:0098794,GO:0098984,GO:0099572,GO:0110165,GO:0120025	O55022	GO:0005741	GO:0005575,GO:0005622,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0016020,GO:0019867,GO:0031090,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0098588,GO:0098805,GO:0110165	ENSRNOG00000012786	ENSMUSG00000006373	127.03433333333332	58.31233333333334	119.15766666666669	52.13466666666667	11.868666666666668	92.11433333333332	116.82800000000002	271.3016666666667	561.6256666666667	9.260666666666667	6.705666666666667	77.905	56.41966666666667	151.97566666666668	74.67466666666667	183.89266666666663	79.07233333333333	27.247	140.31533333333334	155.99433333333332	138.88000000000002	1280.1133333333335	27.74	9.873666666666667	75.45	56.06333333333333	ortholog	0.03300851762154023	0.2959298099323757	0.9312495643276415	0.9355835606212946
6	O35867	GO:0005829,GO:0005856,GO:0014069,GO:0015629,GO:0030027,GO:0030175,GO:0030425,GO:0030426,GO:0031594,GO:0043005,GO:0043025,GO:0043197,GO:0044326,GO:0045202,GO:0098871,GO:0098978,GO:1990761	GO:0005575,GO:0005622,GO:0005737,GO:0005829,GO:0005856,GO:0014069,GO:0015629,GO:0030027,GO:0030054,GO:0030175,GO:0030424,GO:0030425,GO:0030426,GO:0030427,GO:0031252,GO:0031594,GO:0032279,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0043197,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044297,GO:0044309,GO:0044326,GO:0045202,GO:0097447,GO:0098794,GO:0098858,GO:0098871,GO:0098978,GO:0098984,GO:0099571,GO:0099572,GO:0110165,GO:0120025,GO:0150034,GO:1990761	H3BKQ7	GO:0030175,GO:0030864,GO:0043197	GO:0005575,GO:0005622,GO:0005737,GO:0005856,GO:0005938,GO:0015629,GO:0030054,GO:0030175,GO:0030425,GO:0030863,GO:0030864,GO:0036477,GO:0042995,GO:0043005,GO:0043197,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044309,GO:0045202,GO:0071944,GO:0097447,GO:0098794,GO:0098858,GO:0110165,GO:0120025	ENSRNOG00000008869	ENSMUSG00000032827	22.476999999999997	1.983	0.5773333333333333	1.5373333333333334	1.1773333333333331	0.9603333333333334	1.0533333333333332	1.3633333333333333	0.2446666666666667	0.17	0.4076666666666666	1.5889999999999995	0.09133333333333334	35.525999999999996	7.528333333333332	2.6013333333333333	2.2910000000000004	3.2689999999999997	2.6143333333333336	2.0946666666666665	2.4859999999999998	0.5396666666666667	0.19066666666666668	0.5913333333333334	2.5083333333333337	0.7929999999999999	ortholog	0.723825320269322	0.4637985636053886	0.8079740825593446	0.8415208348472537
7	P07171	GO:0005634,GO:0005737,GO:0030424,GO:0032420,GO:0032437,GO:0043197,GO:0044305,GO:0098794,GO:0099523,GO:0099524	GO:0005575,GO:0005622,GO:0005634,GO:0005737,GO:0005829,GO:0005856,GO:0005938,GO:0015629,GO:0030054,GO:0030424,GO:0030425,GO:0030863,GO:0030864,GO:0032420,GO:0032421,GO:0032437,GO:0036477,GO:0042995,GO:0043005,GO:0043197,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043679,GO:0044305,GO:0044306,GO:0044309,GO:0045202,GO:0071944,GO:0097447,GO:0098793,GO:0098794,GO:0098858,GO:0098862,GO:0099522,GO:0099523,GO:0099524,GO:0110165,GO:0120025,GO:0150034	P12658	GO:0005634,GO:0005737,GO:0005829,GO:0030424,GO:0030425,GO:0043005,GO:0043025,GO:0044297,GO:0045202,GO:0098686,GO:0098978,GO:0098982	GO:0005575,GO:0005622,GO:0005634,GO:0005737,GO:0005829,GO:0030054,GO:0030424,GO:0030425,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044297,GO:0045202,GO:0097447,GO:0098686,GO:0098978,GO:0098982,GO:0098984,GO:0110165,GO:0120025	ENSRNOG00000007456	ENSMUSG00000028222	145.51933333333338	6.216000000000001	0.268	0.17866666666666667	0.6696666666666666	0.6853333333333333	1.0436666666666667	592.6346666666667	0.09000000000000001	0.13166666666666668	1.100666666666667	0.537	0.34500000000000003	97.18133333333333	0.132	0.17166666666666666	0.06566666666666666	0.10500000000000002	0.11566666666666665	0.15233333333333335	220.124	0.11900000000000001	0.19700000000000004	0.17366666666666666	0.2223333333333333	0.5003333333333333	ortholog	0.7372255389052395	0.39270864052123944	0.9999479259544112	0.5690578673533182
8	P54777	GO:0005778	GO:0005575,GO:0005622,GO:0005737,GO:0005777,GO:0005778,GO:0016020,GO:0031090,GO:0031903,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0098588,GO:0098805,GO:0110165	Q99LC9	GO:0097733	GO:0005575,GO:0005929,GO:0042995,GO:0043005,GO:0043226,GO:0097730,GO:0097731,GO:0097733,GO:0110165,GO:0120025	ENSRNOG00000016655	ENSMUSG00000002763	6.403333333333332	4.804333333333333	4.075333333333334	2.7226666666666666	1.5113333333333332	4.968666666666667	5.178999999999999	4.484333333333333	7.128333333333334	0.8953333333333333	1.1676666666666666	4.239333333333334	9.828	21.175666666666668	26.53133333333333	18.899999999999995	22.123999999999995	21.102666666666668	18.959	20.064	22.522	12.591666666666667	2.907666666666666	9.437000000000001	14.523333333333332	29.592666666666666	ortholog	0.0745219324991097	0.30431788568586016	0.5755228283726012	0.812782207476332
9	Q5U315	GO:0005634,GO:0005829	GO:0005575,GO:0005622,GO:0005634,GO:0005737,GO:0005829,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	Q91YI6	GO:0005634	GO:0005575,GO:0005622,GO:0005634,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	ENSRNOG00000012099	ENSMUSG00000042167	10.799666666666667	19.137333333333334	17.201666666666668	15.135333333333335	9.619666666666667	23.982	20.49233333333333	14.184666666666665	16.473333333333333	2.8369999999999997	6.544999999999999	12.127333333333334	32.74166666666667	4.508666666666667	9.037	8.450333333333333	6.318333333333333	6.824666666666666	9.495666666666667	9.982666666666663	4.8340000000000005	5.152666666666667	1.1013333333333335	2.562	5.137333333333333	13.866666666666665	ortholog	0.7318308529679282	0.499881387365226	0.9378863090540723	0.9341582145454753
